   	      	                         fitness                          	              size             
   	      	----------------------------------------------------------	-------------------------------
gen	time  	avg      	max         	min         	std       	avg        	std            
37 	5.05  	[0.4893] 	[0.49786975]	[0.39511823]	[0.02269] 	10.0       	0.0            
38 	5.39  	[0.4868] 	[0.49789537]	[0.25203714]	[0.04803] 	10.0       	0.0            
39 	5.4   	[0.495]  	[0.50554871]	[0.45801527]	[0.00861] 	10.0       	0.0            
40 	5.71  	[0.4934] 	[0.50554871]	[0.45325779]	[0.010864]	10.0       	0.0            
41 	5.57  	[0.4763] 	[0.50554871]	[0.29800763]	[0.04843] 	10.0       	0.0            
42 	5.67  	[0.4954] 	[0.50554871]	[0.40994725]	[0.01839] 	10.0       	0.0            
43 	5.94  	[0.4885] 	[0.50554871]	[0.36549957]	[0.03543] 	10.0       	0.0            
44 	6.43  	[0.4963] 	[0.507201]  	[0.44660194]	[0.01643] 	10.0       	0.0            
45 	363.33	[0.4756] 	[0.507201]  	[0.00976801]	[0.09827] 	10.0       	0.0            
46 	7.81  	[0.482]  	[0.507201]  	[0.20204313]	[0.0686]  	10.0       	0.0            
47 	7.89  	[0.5]    	[0.51400731]	[0.41568627]	[0.01927] 	10.0       	0.0            
48 	7.05  	[0.48]   	[0.51400731]	[0.20092025]	[0.06665] 	10.0       	0.0            
49 	6.26  	[0.4924] 	[0.51400731]	[0.20217062]	[0.05994] 	10.0       	0.0            
50 	6.4   	[0.5015] 	[0.51400731]	[0.40372671]	[0.02327] 	10.0       	0.0            
51 	5.84  	[0.5]    	[0.51400731]	[0.38361918]	[0.02834] 	10.0       	0.0            
52 	5.8   	[0.5005] 	[0.51400731]	[0.40372671]	[0.02505] 	10.0       	0.0            
53 	6.17  	[0.51]   	[0.51400731]	[0.47950429]	[0.007328]	10.0       	0.0            
54 	6.26  	[0.5117] 	[0.51400731]	[0.49851983]	[0.00357] 	10.0       	0.0            
55 	6.08  	[0.5083] 	[0.51581509]	[0.46206897]	[0.01316] 	10.0       	0.0            
56 	5.84  	[0.5103] 	[0.51400731]	[0.47477745]	[0.00892] 	10.0       	0.0            
57 	6.12  	[0.5063] 	[0.51400731]	[0.4648986] 	[0.01272] 	10.0       	0.0            
58 	6.25  	[0.509]  	[0.51400731]	[0.48173005]	[0.01023] 	10.0       	0.0            
59 	6.3   	[0.4966] 	[0.51400731]	[0.20420889]	[0.06052] 	9.8828125  	0.587890625    
60 	6.48  	[0.4968] 	[0.51400731]	[0.20919724]	[0.05945] 	10.0       	0.0            
61 	7.62  	[0.497]  	[0.51491175]	[0.22501787]	[0.05792] 	10.0       	0.0            
62 	6.88  	[0.491]  	[0.51491175]	[0.20344168]	[0.0617]  	10.0       	0.0            
63 	6.25  	[0.502]  	[0.51491175]	[0.33842795]	[0.03497] 	10.0       	0.0            
64 	6.66  	[0.493]  	[0.51491175]	[0.24950232]	[0.05978] 	10.0       	0.0            
65 	6.46  	[0.5107] 	[0.51491175]	[0.48759831]	[0.007935]	10.0       	0.0            
66 	5.98  	[0.5083] 	[0.51491175]	[0.40372671]	[0.02238] 	10.0       	0.0            
67 	7.11  	[0.492]  	[0.51491175]	[0.20196424]	[0.0643]  	10.0       	0.0            
68 	6.01  	[0.504]  	[0.51491175]	[0.3604344] 	[0.03073] 	10.0       	0.0            
69 	7.45  	[0.4922] 	[0.51491175]	[0.20061888]	[0.06165] 	10.0       	0.0            
70 	6.26  	[0.4832] 	[0.51491175]	[0.]        	[0.1012]  	9.84375    	0.78369140625  
71 	6.26  	[0.504]  	[0.51491175]	[0.4138756] 	[0.02234] 	10.0       	0.0            
72 	6.32  	[0.502]  	[0.51491175]	[0.33842795]	[0.0351]  	10.0       	0.0            
73 	6.56  	[0.4873] 	[0.51491175]	[0.20105107]	[0.06696] 	10.0       	0.0            
74 	5.89  	[0.5107] 	[0.51491175]	[0.48453608]	[0.00709] 	10.0       	0.0            
75 	6.85  	[0.51]   	[0.51491175]	[0.47474747]	[0.01088] 	10.0       	0.0            
76 	6.2   	[0.506]  	[0.51491175]	[0.40372671]	[0.02249] 	10.0       	0.0            
77 	5.98  	[0.4993] 	[0.51491175]	[0.33842795]	[0.03635] 	10.0       	0.0            
