balance,DEEP MAX,classifier,P1,P2,#Exec,PPV_S,PPV_NS,TPR_S,TPR_NS,F1_S,F1_NS,SUP_S,SUP_NS,TN,FP,FN,TP,Acc,AUC,Deep,Training Time
0,20,dt,5,-,6,0.411214953271028,0.9683390160740379,0.4036697247706422,0.9692832764505119,0.4074074074074074,0.9688109161793372,109,2051,1988,63,65,44,0.9407407407407408,0.6864765006105771,18,38959.51926589012
0,20,knn,5,-,1,0.5853658536585366,0.9617744218971213,0.22857142857142856,0.991727493917275,0.32876712328767127,0.9765213224724485,105,2055,2038,17,81,24,0.9546296296296296,0.6101494612443518,20,40322.62781500816
0,20,dt,5,-,1,0.3431952662721893,0.9758915118031141,0.5471698113207547,0.9459591041869523,0.42181818181818176,0.9606922126081582,106,2054,1943,111,48,58,0.9263888888888889,0.7465644577538535,20,80714.57473182678
0,20,knn,5,-,2,0.7142857142857143,0.9604705882352941,0.22935779816513763,0.9951243295953194,0.3472222222222222,0.9774904214559388,109,2051,2041,10,84,25,0.9564814814814815,0.6122410638802285,20,50914.73600292206
0,20,dt,5,-,7,0.2857142857142857,0.9753846153846154,0.5555555555555556,0.9269005847953217,0.3773584905660377,0.9505247376311845,108,2052,1902,150,48,60,0.9083333333333333,0.7412280701754386,20,54908.83063292503
0,20,knn,5,-,6,0.6388888888888888,0.9595103578154426,0.21100917431192662,0.9936616284739151,0.3172413793103448,0.9762874251497006,109,2051,2038,13,86,23,0.9541666666666667,0.6023354013929209,20,102557.88932871819
