balance,DEEP MAX,classifier,K,#Exec,PPV_S,PPV_NS,TPR_S,TPR_NS,F1_S,F1_NS,SUP_S,SUP_NS,TN,FP,FN,TP,Acc,AUC,Deep,Training Time
0,40,knn,5,1,0.5882352941176471,0.9172563962983125,0.5555555555555556,0.9268426842684269,0.5714285714285715,0.9220246238030095,342,1818,1685,133,152,190,0.8680555555555556,0.7411991199119913,38,17219.295427322388
0,40,knn,5,6,0.6129032258064516,0.9074960127591707,0.4956521739130435,0.9404958677685951,0.548076923076923,0.9237012987012987,345,1815,1707,108,174,171,0.8694444444444445,0.7180740208408193,36,25668.224899291992
0,40,knn,7,1,0.619047619048,0.91050375134,0.521489971347,0.938155715075,0.566096423017,0.924122926299,349,1811,1699,112,167,182,0.870833333333,0.729822843211,37,36025.356169462204
0,40,knn,100,6,0.7227722772277227,0.8983656792645557,0.42318840579710143,0.9691460055096419,0.5338208409506399,0.9324145242512589,345,1815,1759,56,199,146,0.8819444444444444,0.6961672056533716,34,36611.55607509613
0,40,knn,5,1,0.610932475884,0.914548404543,0.545977011494,0.933222958057,0.576631259484,0.923791313849,348,1812,1691,121,158,190,0.870833333333,0.739599984776,36,49547.24655389786
0,40,knn,5,2,0.6187050359712231,0.9117959617428267,0.5088757396449705,0.9418221734357849,0.5584415584415585,0.9265658747300216,338,1822,1716,106,166,172,0.8740740740740741,0.7253489565403776,38,32709.125885486603
0,40,knn,9,1,0.661478599222,0.914871255912,0.512048192771,0.952407002188,0.577249575552,0.933261860091,332,1828,1741,87,162,170,0.884722222222,0.73222759748,32,52178.65492248535
0,40,knn,5,7,0.5838709677419355,0.9118918918918919,0.5261627906976745,0.9289647577092511,0.5535168195718655,0.9203491543917075,344,1816,1687,129,163,181,0.8648148148148148,0.7275637742034627,28,46402.1464779377
0,40,knn,5,2,0.59509202454,0.916030534351,0.557471264368,0.927152317881,0.575667655786,0.92155787164,348,1812,1680,132,154,194,0.867592592593,0.742311791124,27,23773.379991054535
0,40,knn,5,1,0.620578778135,0.91184424013,0.542134831461,0.934589800443,0.578710644678,0.923076923077,356,1804,1686,118,163,193,0.869907407407,0.738362315952,40,76949.07392311096
0,40,knn,100,7,0.6893203883495146,0.8996929375639714,0.42011834319526625,0.964873765093304,0.5220588235294118,0.9311440677966102,338,1822,1758,64,196,142,0.8796296296296297,0.6924960541442852,38,52040.01473379135
0,40,knn,100,1,0.6566037735849056,0.9108179419525066,0.5072886297376094,0.9499174463401211,0.5723684210526315,0.9299568965517241,343,1817,1726,91,169,174,0.8796296296296297,0.7286030380388652,37,89829.62459635735
