python3: can't open file 'train_dbn6.py': [Errno 2] No such file or directory
0.5
0.0662921348315
[START] Pre-training step:
>> Epoch 1 finished 	RBM Reconstruction error 1.284426
>> Epoch 2 finished 	RBM Reconstruction error 1.036299
>> Epoch 3 finished 	RBM Reconstruction error 0.802196
>> Epoch 4 finished 	RBM Reconstruction error 0.684396
>> Epoch 5 finished 	RBM Reconstruction error 0.648421
>> Epoch 6 finished 	RBM Reconstruction error 0.598358
>> Epoch 7 finished 	RBM Reconstruction error 0.610416
>> Epoch 8 finished 	RBM Reconstruction error 0.566339
>> Epoch 9 finished 	RBM Reconstruction error 0.554357
>> Epoch 10 finished 	RBM Reconstruction error 0.551900
>> Epoch 11 finished 	RBM Reconstruction error 0.547801
>> Epoch 12 finished 	RBM Reconstruction error 0.519772
>> Epoch 13 finished 	RBM Reconstruction error 0.490807
>> Epoch 14 finished 	RBM Reconstruction error 0.494315
>> Epoch 15 finished 	RBM Reconstruction error 0.478956
>> Epoch 16 finished 	RBM Reconstruction error 0.500914
>> Epoch 17 finished 	RBM Reconstruction error 0.444382
>> Epoch 18 finished 	RBM Reconstruction error 0.443415
>> Epoch 19 finished 	RBM Reconstruction error 0.437113
>> Epoch 20 finished 	RBM Reconstruction error 0.444598
>> Epoch 21 finished 	RBM Reconstruction error 0.439939
>> Epoch 22 finished 	RBM Reconstruction error 0.450323
>> Epoch 23 finished 	RBM Reconstruction error 0.413108
>> Epoch 24 finished 	RBM Reconstruction error 0.414807
>> Epoch 25 finished 	RBM Reconstruction error 0.424365
>> Epoch 26 finished 	RBM Reconstruction error 0.403726
>> Epoch 27 finished 	RBM Reconstruction error 0.399764
>> Epoch 28 finished 	RBM Reconstruction error 0.420257
>> Epoch 29 finished 	RBM Reconstruction error 0.392950
>> Epoch 30 finished 	RBM Reconstruction error 0.392763
>> Epoch 31 finished 	RBM Reconstruction error 0.416440
>> Epoch 32 finished 	RBM Reconstruction error 0.376658
>> Epoch 33 finished 	RBM Reconstruction error 0.391924
>> Epoch 34 finished 	RBM Reconstruction error 0.393825
>> Epoch 35 finished 	RBM Reconstruction error 0.398183
>> Epoch 36 finished 	RBM Reconstruction error 0.376871
>> Epoch 37 finished 	RBM Reconstruction error 0.367845
>> Epoch 38 finished 	RBM Reconstruction error 0.384086
>> Epoch 39 finished 	RBM Reconstruction error 0.368047
>> Epoch 40 finished 	RBM Reconstruction error 0.392568
>> Epoch 41 finished 	RBM Reconstruction error 0.370813
>> Epoch 42 finished 	RBM Reconstruction error 0.382335
>> Epoch 43 finished 	RBM Reconstruction error 0.362955
>> Epoch 44 finished 	RBM Reconstruction error 0.383806
>> Epoch 45 finished 	RBM Reconstruction error 0.378443
>> Epoch 46 finished 	RBM Reconstruction error 0.359401
>> Epoch 47 finished 	RBM Reconstruction error 0.355563
>> Epoch 48 finished 	RBM Reconstruction error 0.346499
>> Epoch 49 finished 	RBM Reconstruction error 0.356292
>> Epoch 50 finished 	RBM Reconstruction error 0.356930
>> Epoch 51 finished 	RBM Reconstruction error 0.354868
>> Epoch 52 finished 	RBM Reconstruction error 0.365472
>> Epoch 53 finished 	RBM Reconstruction error 0.366547
>> Epoch 54 finished 	RBM Reconstruction error 0.345494
>> Epoch 55 finished 	RBM Reconstruction error 0.349818
>> Epoch 56 finished 	RBM Reconstruction error 0.339094
>> Epoch 57 finished 	RBM Reconstruction error 0.352785
>> Epoch 58 finished 	RBM Reconstruction error 0.338833
>> Epoch 59 finished 	RBM Reconstruction error 0.328435
>> Epoch 60 finished 	RBM Reconstruction error 0.323968
>> Epoch 61 finished 	RBM Reconstruction error 0.355326
>> Epoch 62 finished 	RBM Reconstruction error 0.337084
>> Epoch 63 finished 	RBM Reconstruction error 0.323494
>> Epoch 64 finished 	RBM Reconstruction error 0.328844
>> Epoch 65 finished 	RBM Reconstruction error 0.316278
>> Epoch 66 finished 	RBM Reconstruction error 0.365282
>> Epoch 67 finished 	RBM Reconstruction error 0.324350
>> Epoch 68 finished 	RBM Reconstruction error 0.335745
>> Epoch 69 finished 	RBM Reconstruction error 0.329431
>> Epoch 70 finished 	RBM Reconstruction error 0.332406
>> Epoch 71 finished 	RBM Reconstruction error 0.324721
>> Epoch 72 finished 	RBM Reconstruction error 0.321487
>> Epoch 73 finished 	RBM Reconstruction error 0.316177
>> Epoch 74 finished 	RBM Reconstruction error 0.322684
>> Epoch 75 finished 	RBM Reconstruction error 0.311716
>> Epoch 76 finished 	RBM Reconstruction error 0.329511
>> Epoch 77 finished 	RBM Reconstruction error 0.307719
>> Epoch 78 finished 	RBM Reconstruction error 0.317988
>> Epoch 79 finished 	RBM Reconstruction error 0.321034
>> Epoch 80 finished 	RBM Reconstruction error 0.309244
>> Epoch 81 finished 	RBM Reconstruction error 0.333663
>> Epoch 82 finished 	RBM Reconstruction error 0.309988
>> Epoch 83 finished 	RBM Reconstruction error 0.302527
>> Epoch 84 finished 	RBM Reconstruction error 0.302967
>> Epoch 85 finished 	RBM Reconstruction error 0.306045
>> Epoch 86 finished 	RBM Reconstruction error 0.340386
>> Epoch 87 finished 	RBM Reconstruction error 0.322224
>> Epoch 88 finished 	RBM Reconstruction error 0.306963
>> Epoch 89 finished 	RBM Reconstruction error 0.329474
>> Epoch 90 finished 	RBM Reconstruction error 0.315224
>> Epoch 91 finished 	RBM Reconstruction error 0.311039
>> Epoch 92 finished 	RBM Reconstruction error 0.305684
>> Epoch 93 finished 	RBM Reconstruction error 0.286757
>> Epoch 94 finished 	RBM Reconstruction error 0.305927
>> Epoch 95 finished 	RBM Reconstruction error 0.339775
>> Epoch 96 finished 	RBM Reconstruction error 0.306268
>> Epoch 97 finished 	RBM Reconstruction error 0.302052
>> Epoch 98 finished 	RBM Reconstruction error 0.293382
