[START] Pre-training step:
>> Epoch 45 finished 	RBM Reconstruction error 0.499260
>> Epoch 46 finished 	RBM Reconstruction error 0.498158
>> Epoch 47 finished 	RBM Reconstruction error 0.499243
>> Epoch 48 finished 	RBM Reconstruction error 0.507742
>> Epoch 49 finished 	RBM Reconstruction error 0.482201
>> Epoch 50 finished 	RBM Reconstruction error 0.480441
>> Epoch 51 finished 	RBM Reconstruction error 0.516884
>> Epoch 52 finished 	RBM Reconstruction error 0.468708
>> Epoch 53 finished 	RBM Reconstruction error 0.472463
>> Epoch 54 finished 	RBM Reconstruction error 0.469892
>> Epoch 55 finished 	RBM Reconstruction error 0.485150
>> Epoch 56 finished 	RBM Reconstruction error 0.466844
>> Epoch 57 finished 	RBM Reconstruction error 0.470020
>> Epoch 58 finished 	RBM Reconstruction error 0.569603
>> Epoch 59 finished 	RBM Reconstruction error 0.481527
>> Epoch 60 finished 	RBM Reconstruction error 0.493654
>> Epoch 61 finished 	RBM Reconstruction error 0.468563
>> Epoch 62 finished 	RBM Reconstruction error 0.479583
>> Epoch 63 finished 	RBM Reconstruction error 0.461152
>> Epoch 64 finished 	RBM Reconstruction error 0.458697
>> Epoch 65 finished 	RBM Reconstruction error 0.494903
>> Epoch 66 finished 	RBM Reconstruction error 0.466512
>> Epoch 67 finished 	RBM Reconstruction error 0.462737
>> Epoch 68 finished 	RBM Reconstruction error 0.496089
>> Epoch 69 finished 	RBM Reconstruction error 0.471091
>> Epoch 70 finished 	RBM Reconstruction error 0.480497
>> Epoch 71 finished 	RBM Reconstruction error 0.461064
>> Epoch 72 finished 	RBM Reconstruction error 0.458674
>> Epoch 73 finished 	RBM Reconstruction error 0.451454
>> Epoch 74 finished 	RBM Reconstruction error 0.467763
>> Epoch 75 finished 	RBM Reconstruction error 0.455453
>> Epoch 76 finished 	RBM Reconstruction error 0.465732
>> Epoch 77 finished 	RBM Reconstruction error 0.455736
>> Epoch 78 finished 	RBM Reconstruction error 0.449033
>> Epoch 79 finished 	RBM Reconstruction error 0.470508
>> Epoch 80 finished 	RBM Reconstruction error 0.451127
>> Epoch 81 finished 	RBM Reconstruction error 0.452250
>> Epoch 82 finished 	RBM Reconstruction error 0.462913
>> Epoch 83 finished 	RBM Reconstruction error 0.459190
>> Epoch 84 finished 	RBM Reconstruction error 0.456839
>> Epoch 85 finished 	RBM Reconstruction error 0.464132
>> Epoch 86 finished 	RBM Reconstruction error 0.458939
>> Epoch 87 finished 	RBM Reconstruction error 0.458150
>> Epoch 88 finished 	RBM Reconstruction error 0.446021
>> Epoch 89 finished 	RBM Reconstruction error 0.440178
>> Epoch 90 finished 	RBM Reconstruction error 0.466813
>> Epoch 91 finished 	RBM Reconstruction error 0.445027
>> Epoch 92 finished 	RBM Reconstruction error 0.438271
>> Epoch 93 finished 	RBM Reconstruction error 0.443350
>> Epoch 94 finished 	RBM Reconstruction error 0.476816
>> Epoch 95 finished 	RBM Reconstruction error 0.466745
>> Epoch 96 finished 	RBM Reconstruction error 0.460763
>> Epoch 97 finished 	RBM Reconstruction error 0.456696
>> Epoch 98 finished 	RBM Reconstruction error 0.459863
>> Epoch 99 finished 	RBM Reconstruction error 0.450547
>> Epoch 100 finished 	RBM Reconstruction error 0.454071
>> Epoch 101 finished 	RBM Reconstruction error 0.464475
>> Epoch 102 finished 	RBM Reconstruction error 0.454986
>> Epoch 103 finished 	RBM Reconstruction error 0.452117
>> Epoch 104 finished 	RBM Reconstruction error 0.440211
>> Epoch 105 finished 	RBM Reconstruction error 0.440795
>> Epoch 106 finished 	RBM Reconstruction error 0.446596
>> Epoch 107 finished 	RBM Reconstruction error 0.459763
>> Epoch 108 finished 	RBM Reconstruction error 0.455236
>> Epoch 109 finished 	RBM Reconstruction error 0.440041
>> Epoch 110 finished 	RBM Reconstruction error 0.438318
>> Epoch 111 finished 	RBM Reconstruction error 0.459240
>> Epoch 112 finished 	RBM Reconstruction error 0.465964
>> Epoch 113 finished 	RBM Reconstruction error 0.443366
>> Epoch 114 finished 	RBM Reconstruction error 0.452035
>> Epoch 115 finished 	RBM Reconstruction error 0.456757
>> Epoch 116 finished 	RBM Reconstruction error 0.433281
>> Epoch 117 finished 	RBM Reconstruction error 0.463471
>> Epoch 118 finished 	RBM Reconstruction error 0.437109
>> Epoch 119 finished 	RBM Reconstruction error 0.428336
>> Epoch 120 finished 	RBM Reconstruction error 0.444521
>> Epoch 121 finished 	RBM Reconstruction error 0.457074
