DEEP MAX,K,#Exec,PPV_S,PPV_NS,TPR_S,TPR_NS,F1_S,F1_NS,SUP_S,SUP_NS,TN,FP,FN,TP,Acc,AUC,Deep,Training Time
40,9,1,0.7849462365591398,0.783641160949868,0.7807486631016043,0.7877984084880637,0.7828418230563002,0.7857142857142857,374,377,297,80,82,292,0.7842876165113183,0.7842735357948339,39,15396.489350795746
40,3,1,0.7480719794344473,0.7651933701657458,0.773936170212766,0.7386666666666667,0.7607843137254902,0.7516960651289009,376,375,277,98,85,291,0.7563249001331558,0.7563014184397164,40,20083.346747875214
40,7,1,0.8169398907103825,0.8103896103896104,0.803763440860215,0.8232189973614775,0.8102981029810299,0.8167539267015708,372,379,312,67,73,299,0.8135818908122503,0.8134912191108463,40,29740.409257888794
40,3,2,0.7814207650273224,0.7896103896103897,0.779291553133515,0.7916666666666666,0.7803547066848566,0.7906371911573471,367,384,304,80,81,286,0.7856191744340879,0.7854791099000908,38,23350.129062891006
40,5,1,0.8068783068783069,0.806970509383378,0.8090185676392573,0.8048128342245989,0.8079470198675497,0.8058902275769745,377,374,301,73,72,305,0.8069241011984021,0.8069157009319281,40,45881.65636467934
40,9,2,0.7786666666666666,0.7845744680851063,0.7828418230563002,0.7804232804232805,0.7807486631016042,0.7824933687002653,373,378,295,83,81,292,0.7816245006657789,0.7816325517397904,40,46912.32259631157
40,5,2,0.7774869109947644,0.7831978319783198,0.7877984084880637,0.7727272727272727,0.7826086956521741,0.7779273216689099,377,374,289,85,80,297,0.7802929427430093,0.7802628406076683,38,27702.99783205986
40,3,3,0.7924528301886793,0.7684210526315789,0.7696335078534031,0.7913279132791328,0.7808764940239045,0.7797062750333777,382,369,292,77,88,294,0.7802929427430093,0.7804807105662679,40,31121.774530410767
