DEEP MAX,K,#Exec,PPV_S,PPV_NS,TPR_S,TPR_NS,F1_S,F1_NS,SUP_S,SUP_NS,TN,FP,FN,TP,Acc,Deep,Training Time
40,7,1,0.5083333333333333,0.0,1.0,0.0,0.6740331491712707,0.0,183,177,0,177,0,183,0.5083333333333333,1,631.5838928222656
40,3,1,0.48055555555555557,0.0,1.0,0.0,0.649155722326454,0.0,173,187,0,187,0,173,0.48055555555555557,1,865.9752290248871
40,5,1,0.5111111111111111,0.0,1.0,0.0,0.676470588235294,0.0,184,176,0,176,0,184,0.5111111111111111,10,1536.5568685531616
40,7,2,0.4913494809688581,0.36619718309859156,0.7593582887700535,0.15028901734104047,0.5966386554621849,0.21311475409836067,187,173,26,147,45,142,0.4666666666666667,40,1565.8986992835999
40,7,3,0.5055555555555555,0.0,1.0,0.0,0.6715867158671587,0.0,182,178,0,178,0,182,0.5055555555555555,1,620.7920577526093
40,7,4,0.4914772727272727,0.625,0.9829545454545454,0.02717391304347826,0.6553030303030303,0.05208333333333333,176,184,5,179,3,173,0.49444444444444446,40,1470.7487585544586
40,9,1,0.49544072948328266,0.5483870967741935,0.9209039548022598,0.09289617486338798,0.6442687747035573,0.15887850467289721,177,183,17,166,14,163,0.5,40,6658.6590003967285
40,5,2,0.48125,0.475,0.88,0.10270270270270271,0.6222222222222221,0.16888888888888892,175,185,19,166,21,154,0.48055555555555557,20,5510.008928537369
40,5,3,0.49444444444444446,0.0,1.0,0.0,0.6617100371747212,0.0,178,182,0,182,0,178,0.49444444444444446,1,577.4175651073456
40,5,4,0.49166666666666664,0.0,1.0,0.0,0.659217877094972,0.0,177,183,0,183,0,177,0.49166666666666664,38,1183.8994975090027
40,7,5,0.5173501577287066,0.5813953488372093,0.9010989010989011,0.1404494382022472,0.657314629258517,0.22624434389140274,182,178,25,153,18,164,0.525,38,5856.063938140869
40,3,2,0.5035211267605634,0.42105263157894735,0.7647058823529411,0.18497109826589594,0.6072186836518046,0.2570281124497992,187,173,32,141,44,143,0.4861111111111111,36,9798.520699262619
