balance,DEEP MAX,classifier,P1,P2,#Exec,PPV_S,PPV_NS,TPR_S,TPR_NS,F1_S,F1_NS,SUP_S,SUP_NS,TN,FP,FN,TP,Acc,AUC,Deep,Training Time
0,10,knn,5,-,9,0.7391304347826086,0.955077211043519,0.1504424778761062,0.9970688812896922,0.25,0.9756214149139579,113,2047,2041,6,96,17,0.9527777777777777,0.5737556795828991,10,10988.828814029694
0,10,dt,5,-,3,0.31851851851851853,0.965925925925926,0.38392857142857145,0.955078125,0.3481781376518219,0.9604713970046648,112,2048,1956,92,69,43,0.9254629629629629,0.6695033482142857,10,29889.116980075836
0,10,knn,5,-,4,0.48,0.9606635071090047,0.22429906542056074,0.9873356064296152,0.3057324840764331,0.9738169589238529,107,2053,2027,26,83,24,0.9495370370370371,0.605817335925088,10,17307.863013505936
0,10,dt,5,-,8,0.27972027972027974,0.9662865642042637,0.37037037037037035,0.9498050682261209,0.3187250996015937,0.957974932415827,108,2052,1949,103,68,40,0.9208333333333333,0.6600877192982455,10,32322.017637491226
0,10,knn,5,-,5,0.72,0.9569086651053864,0.16363636363636364,0.9965853658536585,0.26666666666666666,0.9763440860215054,110,2050,2043,7,92,18,0.9541666666666667,0.5801108647450111,10,14197.338341712952
0,10,knn,5,-,10,0.4166666666666667,0.9552730696798494,0.13636363636363635,0.9897560975609756,0.20547945205479454,0.9722089123143268,110,2050,2029,21,95,15,0.9462962962962963,0.5630598669623059,10,20159.078656435013
0,10,dt,5,-,4,0.3088235294117647,0.9693675889328063,0.40384615384615385,0.9542801556420234,0.35,0.961764705882353,104,2056,1962,94,62,42,0.9277777777777778,0.6790631547440885,10,22283.349858522415
0,10,dt,5,-,9,0.35074626865671643,0.9684106614017769,0.42342342342342343,0.9575402635431918,0.3836734693877551,0.9629447852760736,111,2049,1962,87,64,47,0.9300925925925926,0.6904818434833077,10,21739.91942667961
0,10,dt,5,-,5,0.288135593220339,0.9637610186092067,0.3148148148148148,0.9590643274853801,0.3008849557522124,0.9614069369809477,108,2052,1968,84,74,34,0.9268518518518518,0.6369395711500974,10,20512.52260375023
0,10,dt,5,-,10,0.3333333333333333,0.9666175748649976,0.3761467889908257,0.9600195026816187,0.35344827586206895,0.963307240704501,109,2051,1969,82,68,41,0.9305555555555556,0.6680831458362222,10,17721.992175340652
0,10,nb,5,-,1,0.327956989247,0.977710233029,0.580952380952,0.939172749392,0.419243986254,0.958054107719,105,2055,1930,125,44,61,0.921759259259,0.760062565172,10,12610.536652088165
