Altura Maxima,K,#Execucao,Acc (Melhor),Altura (Melhor),Tempo Execucao
20,9,1,0.885185185185,20,12225.736424922943
20,9,7,0.925925925926,20,15958.634664535522
20,9,2,0.914814814815,20,17697.981899499893
20,9,8,0.892592592593,20,27563.655841350555
20,9,3,0.911111111111,20,22420.7641787529
20,9,4,0.918518518519,18,19418.950899600983
20,9,9,0.907407407407,20,34137.70044922829
20,9,10,0.9,20,10700.761462688446
20,9,5,0.925925925926,20,27647.498200178146
20,9,11,0.9,20,16758.711745023727
20,9,6,0.877777777778,18,10615.339144468307
