DEEP MAX,K,#Exec,PPV_S,PPV_NS,TPR_S,TPR_NS,F1_S,F1_NS,SUP_S,SUP_NS,Acc,Deep,Training Time
35,9,1,0.7445255474452555,0.8117647058823529,0.827027027027027,0.7244094488188977,0.7836107554417413,0.7656033287101248,370,381,0.7749667110519307,32,17536.09511399269
35,3,1,0.7571801566579635,0.7608695652173914,0.7671957671957672,0.7506702412868632,0.7621550591327202,0.7557354925775979,378,373,0.758988015978695,35,19471.33069562912
35,5,1,0.7913279132791328,0.7931937172774869,0.7870619946091644,0.7973684210526316,0.7891891891891891,0.7952755905511811,371,380,0.7922769640479361,35,24936.914895296097
35,7,1,0.7894736842105263,0.7615384615384615,0.753968253968254,0.7962466487935657,0.7713125845737483,0.7785058977719528,378,373,0.7749667110519307,35,29192.463407754898
35,9,2,0.7696629213483146,0.7443037974683544,0.7306666666666667,0.7819148936170213,0.749658002735978,0.7626459143968871,375,376,0.7563249001331558,34,23345.938043117523
35,7,2,0.7685714285714286,0.7506234413965087,0.7289972899728997,0.7879581151832461,0.7482614742698193,0.768837803320562,369,382,0.758988015978695,35,22217.36041021347
35,3,2,0.7791878172588832,0.8067226890756303,0.8164893617021277,0.768,0.7974025974025973,0.7868852459016394,376,375,0.7922769640479361,33,33484.40147852898
35,5,2,0.7842105263157895,0.7816711590296496,0.7862796833773087,0.7795698924731183,0.785243741765481,0.7806191117092868,379,372,0.7829560585885486,35,31245.975772857666
35,7,3,0.7810810810810811,0.7952755905511811,0.7874659400544959,0.7890625,0.7842605156037992,0.7921568627450981,367,384,0.7882822902796272,35,19489.229095220566
35,9,3,0.7874659400544959,0.7630208333333334,0.7605263157894737,0.7897574123989218,0.7737617135207496,0.776158940397351,380,371,0.7749667110519307,34,35277.569606781006
35,3,3,0.7757255936675461,0.7741935483870968,0.7777777777777778,0.7721179624664879,0.7767503302509907,0.7731543624161075,378,373,0.7749667110519307,32,24720.57141852379
35,9,4,0.8091397849462365,0.7810026385224275,0.7838541666666666,0.8065395095367848,0.7962962962962964,0.7935656836461126,384,367,0.7949400798934754,35,14240.924680233002
35,7,4,0.8005464480874317,0.7896103896103897,0.7834224598930482,0.8063660477453581,0.791891891891892,0.7979002624671916,374,377,0.7949400798934754,30,32545.286916732788
35,3,4,0.7659033078880407,0.7821229050279329,0.7941952506596306,0.7526881720430108,0.7797927461139897,0.7671232876712328,379,372,0.7736351531291611,35,27798.001477479935
35,9,5,0.7916666666666666,0.7723785166240409,0.7620320855614974,0.8010610079575596,0.776566757493188,0.7864583333333334,374,377,0.7816245006657789,35,21126.268789291382
35,5,3,0.7684478371501272,0.7960893854748603,0.8053333333333333,0.7579787234042553,0.7864583333333333,0.776566757493188,375,376,0.7816245006657789,35,57092.89615941048
35,3,5,0.7683923705722071,0.7552083333333334,0.75,0.7733333333333333,0.7590847913862718,0.764163372859025,376,375,0.7616511318242344,34,8192.625239133835
