K,Balanced,#Exec,PPV_S,PPV_NS,TPR_S,TPR_NS,F1_S,F1_NS,SUP_S,SUP_NS,TN,FP,FN,TP,Acc,AUC0,AUC1
3,1,0,0.09395424836601307,0.9710854092526691,0.6388888888888888,0.6631227217496962,0.16381766381766383,0.7880866425992781,180,3292,2183,1109,65,115,0.6618663594470046,0.6510058053192925,0.6510058053192925
3,1,1,0.08593155893536121,0.9689383402874363,0.6277777777777778,0.6348724179829891,0.1511705685618729,0.7671132317856488,180,3292,2090,1202,67,113,0.6345046082949308,0.6313250978803834,0.6313250978803835
3,1,2,0.08245877061469266,0.9672591206735267,0.6111111111111112,0.6281895504252734,0.14531043593130782,0.761694290976059,180,3292,2068,1224,70,110,0.6273041474654378,0.6196503307681923,0.6196503307681922
3,1,3,0.08577878103837472,0.9692020531964536,0.6333333333333333,0.6309234507897934,0.15109343936381708,0.7643054277828887,180,3292,2077,1215,66,114,0.6310483870967742,0.6321283920615633,0.6321283920615633
3,1,4,0.08131352619233777,0.965344277245782,0.5777777777777777,0.6430741190765492,0.14256339958875944,0.7719234275296262,180,3292,2117,1175,76,104,0.6396889400921659,0.6104259484271635,0.6104259484271635
3,1,5,0.0875,0.968978102189781,0.6222222222222222,0.6452004860267315,0.15342465753424656,0.7746170678336981,180,3292,2124,1168,68,112,0.6440092165898618,0.6337113541244769,0.6337113541244769
3,1,6,0.09163636363636364,0.9742489270386266,0.7,0.6205953827460511,0.16205787781350484,0.7582111709036928,180,3292,2043,1249,54,126,0.6247119815668203,0.6602976913730255,0.6602976913730255
3,1,7,0.08640120210368145,0.9696403549743111,0.6388888888888888,0.6306196840826246,0.15221707478491067,0.7642186637217009,180,3292,2076,1216,65,115,0.6310483870967742,0.6347542864857567,0.6347542864857567
3,1,8,0.08621960206337509,0.9702127659574468,0.65,0.6233292831105711,0.15224463240078073,0.7590160902533752,180,3292,2052,1240,63,117,0.6247119815668203,0.6366646415552855,0.6366646415552855
3,1,9,0.08798775822494262,0.9699769053117783,0.6388888888888888,0.637910085054678,0.1546738399462004,0.7696536558548654,180,3292,2100,1192,65,115,0.6379608294930875,0.6383994869717833,0.6383994869717835
5,1,0,0.09273182957393483,0.9696703296703296,0.6166666666666667,0.6701093560145808,0.16122004357298475,0.7925273935692473,180,3292,2206,1086,69,111,0.6673387096774194,0.6433880113406236,0.6433880113406237
