Balanced,#Neurons,Activattion,#Exec,PPV_S,PPV_NS,TPR_S,TPR_NS,F1_S,F1_NS,SUP_S,SUP_NS,TN,FP,FN,TP,Acc,AUC0,AUC1
1,5,logistic,0,0.010101010101010102,0.9469315149718351,0.005555555555555556,0.9702308626974484,0.007168458781362008,0.9584396099024756,180,3292,1,179,98,3194,0.9202188940092166,0.48789320912650197,0.48789320912650197
1,5,logistic,1,0.0,0.9481268011527377,0.0,0.9993924665856622,0.0,0.9730848861283644,180,3292,0,180,2,3290,0.9475806451612904,0.4996962332928311,0.4996962332928311
1,5,logistic,2,0.05193306405077899,1.0,1.0,0.0018226002430133657,0.09873834339001646,0.0036385688295936932,180,3292,180,0,3286,6,0.05357142857142857,0.5009113001215066,0.5009113001215066
1,5,logistic,3,0.024,0.9471168210337616,0.016666666666666666,0.9629404617253949,0.019672131147540982,0.9549630968519356,180,3292,3,177,122,3170,0.9138824884792627,0.48980356419603077,0.4898035641960308
1,5,logistic,4,0.020833333333333332,0.9477219626168224,0.005555555555555556,0.985722964763062,0.008771929824561403,0.9663490172721859,180,3292,1,179,47,3245,0.9349078341013825,0.49563926015930876,0.49563926015930876
1,5,logistic,5,0.12307692307692308,0.9509275882704967,0.08888888888888889,0.965370595382746,0.1032258064516129,0.9580946638528792,180,3292,16,164,114,3178,0.9199308755760369,0.5271297421358174,0.5271297421358175
1,5,logistic,6,0.0810126582278481,0.9519012024699383,0.17777777777777778,0.8897326852976913,0.11130434782608696,0.9197676244308369,180,3292,32,148,363,2929,0.8528225806451613,0.5337552315377345,0.5337552315377345
1,5,logistic,7,0.14465408805031446,0.9629382303839733,0.38333333333333336,0.8760631834750912,0.2100456621004566,0.9174487036742485,180,3292,69,111,408,2884,0.8505184331797235,0.6296982584042122,0.6296982584042122
1,5,logistic,8,0.0,0.9480819152004615,0.0,0.9984811664641555,0.0,0.9726290871430685,180,3292,0,180,5,3287,0.9467165898617511,0.49924058323207776,0.49924058323207776
1,5,logistic,9,0.07608695652173914,0.9488165680473373,0.03888888888888889,0.974179829890644,0.05147058823529412,0.9613309352517986,180,3292,7,173,85,3207,0.9256912442396313,0.5065343593897665,0.5065343593897664
0,5,logistic,0,0.0,0.9643457382953181,0.0,0.9997510889856877,0.0,0.9817293003360831,297,8035,0,297,2,8033,0.964114258281325,0.4998755444928438,0.4998755444928438
0,5,logistic,1,0.3,0.9655130978130257,0.010344827586206896,0.9991295697587664,0.019999999999999997,0.9820337325837204,290,8042,3,287,7,8035,0.9647143542966875,0.5047371986724867,0.5047371986724867
0,5,logistic,2,0.0,0.9637454981992797,0.0,0.9997509339975094,0.0,0.9814180929095354,302,8030,0,302,2,8028,0.9635141622659625,0.4998754669987547,0.4998754669987547
0,5,logistic,3,0.0,0.9635054021608643,0.0,0.9997508719481814,0.0,0.9812935566695195,304,8028,0,304,2,8026,0.9632741238598176,0.4998754359740907,0.4998754359740907
