Balanced,Kernel,#Exec,PPV_S,PPV_NS,TPR_S,TPR_NS,F1_S,F1_NS,SUP_S,SUP_NS,TN,FP,FN,TP,Acc,AUC0,AUC1
1,linear,0,0.1625615763546798,0.9550321199143469,0.18333333333333332,0.948359659781288,0.17232375979112272,0.9516841944825484,180,3292,33,147,170,3122,0.9086981566820277,0.5658464965573107,0.5658464965573107
1,linear,1,0.14042553191489363,0.9545875810936052,0.18333333333333332,0.9386391251518833,0.15903614457831325,0.9465461785878388,180,3292,33,147,202,3090,0.8994815668202765,0.5609862292426083,0.5609862292426083
1,linear,2,0.15492957746478872,0.9548941393065358,0.18333333333333332,0.945321992709599,0.1679389312977099,0.9500839566478401,180,3292,33,147,180,3112,0.9058179723502304,0.5643276630214662,0.5643276630214662
1,linear,3,0.14634146341463414,0.9553626782393057,0.2,0.9362089914945322,0.16901408450704225,0.945688861613992,180,3292,36,144,210,3082,0.8980414746543779,0.5681044957472661,0.5681044957472661
1,linear,4,0.14423076923076922,0.9540441176470589,0.16666666666666666,0.9459295261239368,0.15463917525773194,0.9499694935936546,180,3292,30,150,178,3114,0.9055299539170507,0.5562980963953018,0.5562980963953017
1,linear,5,0.19480519480519481,0.9547920433996383,0.16666666666666666,0.9623329283110571,0.17964071856287422,0.9585476550680787,180,3292,30,150,124,3168,0.9210829493087558,0.5644997974888619,0.5644997974888618
1,linear,6,0.13385826771653545,0.9546302050963331,0.18888888888888888,0.9331713244228432,0.1566820276497696,0.943778801843318,180,3292,34,146,220,3072,0.8945852534562212,0.5610301066558661,0.5610301066558661
1,linear,7,0.14814814814814814,0.9545454545454546,0.17777777777777778,0.9441069258809235,0.1616161616161616,0.9492974954184483,180,3292,32,148,184,3108,0.9043778801843319,0.5609423518293506,0.5609423518293506
1,linear,8,0.16145833333333334,0.9545731707317073,0.17222222222222222,0.951093560145808,0.16666666666666669,0.9528301886792452,180,3292,31,149,161,3131,0.9107142857142857,0.5616578911840152,0.5616578911840151
1,linear,9,0.1511111111111111,0.9550354173082846,0.18888888888888888,0.9419805589307412,0.16790123456790124,0.948463067747362,180,3292,34,146,191,3101,0.9029377880184332,0.565434723909815,0.565434723909815
1,linear,10,0.17204301075268819,0.9549604382227632,0.17777777777777778,0.9532199270959902,0.1748633879781421,0.9540893888719976,180,3292,32,148,154,3138,0.9130184331797235,0.565498852436884,0.565498852436884
1,linear,11,0.19444444444444445,0.9543269230769231,0.15555555555555556,0.9647630619684082,0.17283950617283952,0.9595166163141994,180,3292,28,152,116,3176,0.9228110599078341,0.5601593087619818,0.5601593087619819
1,linear,12,0.15934065934065933,0.9541033434650456,0.16111111111111112,0.9535236938031592,0.16022099447513813,0.9538134305682163,180,3292,29,151,153,3139,0.9124423963133641,0.5573174024571351,0.5573174024571351
1,linear,13,0.16062176165803108,0.9545593168648978,0.17222222222222222,0.9507897934386391,0.16621983914209115,0.9526708263582407,180,3292,31,149,162,3130,0.910426267281106,0.5615060078304307,0.5615060078304307
1,linear,14,0.13114754098360656,0.9541511771995044,0.17777777777777778,0.9356014580801945,0.15094339622641512,0.9447852760736197,180,3292,32,148,212,3080,0.8963133640552995,0.5566896179289862,0.5566896179289862
1,linear,15,0.17647058823529413,0.9545729860690491,0.16666666666666666,0.9574726609963548,0.17142857142857143,0.9560206248104336,180,3292,30,150,140,3152,0.9164746543778802,0.5620696638315107,0.5620696638315107
1,linear,16,0.1676300578034682,0.9542285541073052,0.16111111111111112,0.9562575941676792,0.1643059490084986,0.955241996662115,180,3292,29,151,144,3148,0.9150345622119815,0.5586843526393952,0.5586843526393952
1,linear,17,0.16,0.9547677261613692,0.17777777777777778,0.9489671931956257,0.16842105263157894,0.951858622790981,180,3292,32,148,168,3124,0.9089861751152074,0.5633724854867017,0.5633724854867018
1,linear,18,0.1791907514450867,0.9548347984237647,0.17222222222222222,0.956865127582017,0.17563739376770537,0.9558488848429676,180,3292,31,149,142,3150,0.9161866359447005,0.5645436749021197,0.5645436749021197
1,linear,19,0.14732142857142858,0.9547413793103449,0.18333333333333332,0.9419805589307412,0.16336633663366334,0.9483180428134557,180,3292,33,147,191,3101,0.9026497695852534,0.5626569461320372,0.5626569461320373
1,linear,20,0.16,0.9547677261613692,0.17777777777777778,0.9489671931956257,0.16842105263157894,0.951858622790981,180,3292,32,148,168,3124,0.9089861751152074,0.5633724854867017,0.5633724854867018
1,linear,21,0.1638418079096045,0.9541729893778452,0.16111111111111112,0.9550425273390036,0.16246498599439774,0.9546075603461363,180,3292,29,151,148,3144,0.9138824884792627,0.5580768192250575,0.5580768192250574
1,linear,22,0.13095238095238096,0.9543478260869566,0.18333333333333332,0.9334750911300121,0.15277777777777776,0.9437960687960688,180,3292,33,147,219,3073,0.8945852534562212,0.5584042122316728,0.5584042122316728
1,linear,23,0.14492753623188406,0.9540581929555896,0.16666666666666666,0.9462332928311057,0.15503875968992248,0.9501296324538661,180,3292,30,150,177,3115,0.9058179723502304,0.5564499797488862,0.5564499797488861
1,linear,24,0.15609756097560976,0.9546985001530456,0.17777777777777778,0.9474483596597812,0.16623376623376623,0.9510596127458453,180,3292,32,148,173,3119,0.9075460829493087,0.5626130687187795,0.5626130687187796
1,linear,25,0.16097560975609757,0.9550045913682277,0.18333333333333332,0.9477521263669502,0.17142857142857143,0.9513645372770239,180,3292,33,147,172,3120,0.9081221198156681,0.5655427298501418,0.5655427298501418
1,linear,26,0.1657142857142857,0.954200788595693,0.16111111111111112,0.9556500607533415,0.16338028169014085,0.9549248747913189,180,3292,29,151,146,3146,0.9144585253456221,0.5583805859322264,0.5583805859322263
1,linear,27,0.1596244131455399,0.9552009818962872,0.18888888888888888,0.945625759416768,0.17302798982188297,0.9503892535490764,180,3292,34,146,179,3113,0.9063940092165899,0.5672573241528285,0.5672573241528284
1,linear,28,0.13559322033898305,0.9542645241038319,0.17777777777777778,0.9380315917375456,0.15384615384615385,0.9460784313725491,180,3292,32,148,204,3088,0.8986175115207373,0.5579046847576616,0.5579046847576616
1,linear,29,0.13852813852813853,0.9543350817648873,0.17777777777777778,0.93955042527339,0.15571776155717762,0.946885045155365,180,3292,32,148,199,3093,0.9000576036866359,0.5586641015255839,0.5586641015255839
1,linear,30,0.16161616161616163,0.9547953573610263,0.17777777777777778,0.9495747266099636,0.16931216931216933,0.9521778860798051,180,3292,32,148,166,3126,0.9095622119815668,0.5636762521938706,0.5636762521938706
1,linear,31,0.13108614232209737,0.9547581903276131,0.19444444444444445,0.9295261239368166,0.15659955257270694,0.9419732184084962,180,3292,35,145,232,3060,0.8914170506912442,0.5619852841906304,0.5619852841906304
1,linear,32,0.17880794701986755,0.9539295392953929,0.15,0.9623329283110571,0.16314199395770393,0.9581128081052471,180,3292,27,153,124,3168,0.9202188940092166,0.5561664641555285,0.5561664641555285
1,linear,33,0.1388888888888889,0.9549689440993789,0.19444444444444445,0.93408262454435,0.16203703703703703,0.9444103194103195,180,3292,35,145,217,3075,0.8957373271889401,0.5642635344943973,0.5642635344943971
1,linear,34,0.15151515151515152,0.955260721999383,0.19444444444444445,0.9404617253948967,0.17031630170316303,0.9478034593601715,180,3292,35,145,196,3096,0.9017857142857143,0.5674530849196705,0.5674530849196706
1,linear,35,0.21739130434782608,0.9538278224605302,0.1388888888888889,0.9726609963547995,0.1694915254237288,0.9631523537374042,180,3292,25,155,90,3202,0.9294354838709677,0.5557749426218441,0.5557749426218441
1,linear,36,0.16489361702127658,0.9546285018270402,0.17222222222222222,0.9523086269744836,0.16847826086956522,0.9534671532846716,180,3292,31,149,157,3135,0.9118663594470046,0.5622654245983529,0.5622654245983529
1,linear,37,0.16145833333333334,0.9545731707317073,0.17222222222222222,0.951093560145808,0.16666666666666669,0.9528301886792452,180,3292,31,149,161,3131,0.9107142857142857,0.5616578911840152,0.5616578911840151
1,linear,38,0.1893491124260355,0.9551922494701787,0.17777777777777778,0.9583839611178615,0.1833810888252149,0.9567854435178165,180,3292,32,148,137,3155,0.9179147465437788,0.5680808694478197,0.5680808694478197
1,linear,39,0.16666666666666666,0.9557739557739557,0.2,0.945321992709599,0.1818181818181818,0.950519242516799,180,3292,36,144,180,3112,0.9066820276497696,0.5726609963547995,0.5726609963547995
1,linear,40,0.15934065934065933,0.9541033434650456,0.16111111111111112,0.9535236938031592,0.16022099447513813,0.9538134305682163,180,3292,29,151,153,3139,0.9124423963133641,0.5573174024571351,0.5573174024571351
1,linear,41,0.15422885572139303,0.9544481809844084,0.17222222222222222,0.948359659781288,0.16272965879265092,0.9513941794910865,180,3292,31,149,170,3122,0.9081221198156681,0.5602909410017551,0.5602909410017551
1,linear,42,0.22818791946308725,0.9560637977730966,0.18888888888888888,0.9650668286755771,0.2066869300911854,0.9605442176870749,180,3292,34,146,115,3177,0.9248271889400922,0.5769778587822331,0.5769778587822331
1,linear,43,0.14678899082568808,0.9545175169022742,0.17777777777777778,0.9434993924665857,0.16080402010050251,0.948976474182707,180,3292,32,148,186,3106,0.9038018433179723,0.5606385851221817,0.5606385851221818
1,linear,44,0.12686567164179105,0.9544319600499376,0.18888888888888888,0.9289185905224787,0.15178571428571427,0.9415024630541873,180,3292,34,146,234,3058,0.8905529953917051,0.5589037397056837,0.5589037397056837
1,linear,45,0.20610687022900764,0.9542053277461838,0.15,0.968408262454435,0.17363344051446944,0.9612543343886629,180,3292,27,153,104,3188,0.925979262672811,0.5592041312272175,0.5592041312272176
1,linear,46,0.13043478260869565,0.9543336439888164,0.18333333333333332,0.9331713244228432,0.15242494226327943,0.9436338504070035,180,3292,33,147,220,3072,0.8942972350230415,0.5582523288780883,0.5582523288780883
1,linear,47,0.15920398009950248,0.9547538978905533,0.17777777777777778,0.9486634264884569,0.16797900262467194,0.9516989181776627,180,3292,32,148,169,3123,0.9086981566820277,0.5632206021331173,0.5632206021331174
1,linear,48,0.14347826086956522,0.9546576187538557,0.18333333333333332,0.9401579586877278,0.16097560975609757,0.9473523109886747,180,3292,33,147,197,3095,0.9009216589861752,0.5617456460105306,0.5617456460105306
1,linear,49,0.16853932584269662,0.9544626593806922,0.16666666666666666,0.9550425273390036,0.16759776536312848,0.954752505314303,180,3292,30,150,148,3144,0.9141705069124424,0.5608545970028352,0.5608545970028351
1,linear,50,0.19375,0.955012077294686,0.17222222222222222,0.9608140947752126,0.18235294117647055,0.9579043004239854,180,3292,31,149,129,3163,0.9199308755760369,0.5665181584987175,0.5665181584987175
1,linear,51,0.18674698795180722,0.9549304295220811,0.17222222222222222,0.9589914945321992,0.1791907514450867,0.956956653531373,180,3292,31,149,135,3157,0.9182027649769585,0.5656068583772107,0.5656068583772107
1,linear,52,0.17341040462427745,0.954531676265535,0.16666666666666666,0.9565613608748481,0.16997167138810199,0.9555454407525413,180,3292,30,150,143,3149,0.915610599078341,0.5616140137707575,0.5616140137707574
1,linear,53,0.19480519480519481,0.9547920433996383,0.16666666666666666,0.9623329283110571,0.17964071856287422,0.9585476550680787,180,3292,30,150,124,3168,0.9210829493087558,0.5644997974888619,0.5644997974888618
1,linear,54,0.16756756756756758,0.9546699117736538,0.17222222222222222,0.9532199270959902,0.16986301369863013,0.9539443684450525,180,3292,31,149,154,3138,0.9127304147465438,0.5627210746591063,0.5627210746591063
1,linear,55,0.16666666666666666,0.9539951573849879,0.15555555555555556,0.9574726609963548,0.16091954022988508,0.95573074590661,180,3292,28,152,140,3152,0.9158986175115207,0.5565141082759552,0.5565141082759552
1,linear,56,0.16666666666666666,0.9548780487804878,0.17777777777777778,0.951397326852977,0.17204301075268819,0.953134510042605,180,3292,32,148,160,3132,0.9112903225806451,0.5645875523153774,0.5645875523153774
1,linear,57,0.15283842794759825,0.9552883132901634,0.19444444444444445,0.9410692588092345,0.1711491442542787,0.9481254781943382,180,3292,35,145,194,3098,0.9023617511520737,0.5677568516268394,0.5677568516268394
1,linear,58,0.17532467532467533,0.953887884267631,0.15,0.9614216281895505,0.1616766467065868,0.9576399394856278,180,3292,27,153,127,3165,0.9193548387096774,0.5557108140947752,0.5557108140947752
1,linear,59,0.16574585635359115,0.9544211485870556,0.16666666666666666,0.954131227217497,0.16620498614958448,0.9542761658818167,180,3292,30,150,151,3141,0.9133064516129032,0.5603989469420818,0.5603989469420818
1,linear,60,0.17901234567901234,0.954380664652568,0.16111111111111112,0.9595990279465371,0.16959064327485382,0.9569827325053014,180,3292,29,151,133,3159,0.9182027649769585,0.5603550695288241,0.5603550695288241
1,linear,61,0.1676300578034682,0.9542285541073052,0.16111111111111112,0.9562575941676792,0.1643059490084986,0.955241996662115,180,3292,29,151,144,3148,0.9150345622119815,0.5586843526393952,0.5586843526393952
1,linear,62,0.15816326530612246,0.9545177045177046,0.17222222222222222,0.9498784933171325,0.16489361702127658,0.9521924482338611,180,3292,31,149,165,3127,0.9095622119815668,0.5610503577696774,0.5610503577696774
