Altura Maxima,K,#Execucao,Precision_S,Precision_NS,Recall_S,Recall_NS,Fscore_S,Fscore_NS,Support_S,Support_NS,Acc (Melhor),Altura (Melhor),Tempo Execucao
20,7,1,0.8935185185185185,20,88656.68032646179
20,7,7,0.89212962963,20,107430.9950530529
20,7,16,0.8680555555555556,20,72156.53102850914
10,7,16,0.875,0.18529411764705883,10,48588.93380856514
10,7,16,0.967741935483871,0.08547008547008547,10,63645.70341587067
10,7,17,0.9411764705882353,0.1359773371104816,10,61126.96425199509
10,7,17,0.9487179487179487,0.10979228486646884,10,47676.88779902458
10,7,18,0.828125,0.1582089552238806,10,62442.01609945297
10,7,18,0.9069767441860465,0.2314540059347181,10,121387.18190670013
10,7,19,0.8490566037735849,0.1323529411764706,10,93432.03586268425
10,7,19,0.8292682926829268,0.19154929577464788,10,81500.92071008682
10,7,20,0.8620689655172413,0.21865889212827988,10,67504.92630243301
10,7,20,0.9047619047619048,0.16193181818181818,10,67021.13916563988
