20,13,7,0.899074074074074,20,83542.37331795692
20,13,16,0.8388888888888889,17,9533.437711954117
20,13,16,0.844444444444,20,21738.921050786972
20,13,17,0.8435185185185186,20,67493.69773697853
20,13,17,0.885185185185,17,93186.53820681572
10,13,16,1.0,0.01749271137026239,10,84994.06789159775
10,13,17,1.0,0.052478134110787174,10,47650.97659087181
10,13,18,1.0,0.07780979827089338,10,67913.21651673317
10,13,19,1.0,0.03498542274052478,10,42820.94042944908
10,13,20,1.0,0.0728862973760933,10,63413.79653644562
