balance,DEEP MAX,classifier,P1,P2,#Exec,PPV_S,PPV_NS,TPR_S,TPR_NS,F1_S,F1_NS,SUP_S,SUP_NS,TN,FP,FN,TP,Acc,AUC,Deep,Training Time
1,40,svm,5,-,1,0.2398190045248869,0.9837997054491899,0.828125,0.7990430622009569,0.3719298245614035,0.8818481848184818,64,836,668,168,11,53,0.8011111111111111,0.8135840311004786,28,8654.890773057938
1,40,svm,5,-,6,0.28735632183908044,0.9807162534435262,0.78125,0.8516746411483254,0.42016806722689076,0.911651728553137,64,836,712,124,14,50,0.8466666666666667,0.8164623205741627,38,9773.497087955475
1,40,svm,5,-,7,0.2755102040816326,0.9857954545454546,0.84375,0.8301435406698564,0.41538461538461535,0.9012987012987013,64,836,694,142,10,54,0.8311111111111111,0.8369467703349284,34,14825.565170288086
1,40,svm,5,-,6,0.295180722892,0.979564032698,0.765625,0.86004784689,0.426086956522,0.915923566879,64,836,719,117,15,49,0.853333333333,0.812836423445,40,27256.08362841606
1,40,svm,5,-,1,0.219298245614,0.979166666667,0.78125,0.787081339713,0.342465753425,0.872679045093,64,836,658,178,14,50,0.786666666667,0.784165669856,30,27666.421053886414
1,40,dt,5,-,1,0.22178988326848248,0.9891135303265941,0.890625,0.7607655502392344,0.3551401869158878,0.8600405679513184,64,836,636,200,7,57,0.77,0.8256952751196173,39,29656.585455417633
1,40,dt,5,-,6,0.22033898305084745,0.9819277108433735,0.8125,0.7799043062200957,0.3466666666666666,0.8693333333333333,64,836,652,184,12,52,0.7822222222222223,0.7962021531100478,40,29721.81452345848
1,40,svm,5,-,8,0.24770642201834864,0.9853372434017595,0.84375,0.8038277511961722,0.3829787234042553,0.8853754940711461,64,836,672,164,10,54,0.8066666666666666,0.8237888755980861,39,7678.8388867378235
1,40,svm,5,-,2,0.292817679558011,0.9847009735744089,0.828125,0.84688995215311,0.4326530612244897,0.9106109324758842,64,836,708,128,11,53,0.8455555555555555,0.8375074760765551,40,28497.026696681976
0,40,knn,5,-,1,0.46153846153846156,0.9405034324942791,0.1875,0.9832535885167464,0.26666666666666666,0.9614035087719297,64,836,822,14,52,12,0.9266666666666666,0.5853767942583732,40,44197.409004449844
1,40,svm,5,-,2,0.275862068966,0.977961432507,0.75,0.849282296651,0.403361344538,0.909090909091,64,836,710,126,16,48,0.842222222222,0.799641148325,39,16838.35574221611
1,40,svm,5,-,9,0.25471698113207547,0.9854651162790697,0.84375,0.8110047846889952,0.3913043478260869,0.889763779527559,64,836,678,158,10,54,0.8133333333333334,0.8273773923444976,39,15455.628329515457
1,40,svm,5,-,10,0.2840909090909091,0.9806629834254144,0.78125,0.8492822966507177,0.41666666666666663,0.9102564102564104,64,836,710,126,14,50,0.8444444444444444,0.8152661483253588,34,8272.711966514587
1,40,dt,5,-,2,0.24528301886792453,0.9825581395348837,0.8125,0.8086124401913876,0.37681159420289856,0.8871391076115486,64,836,676,160,12,52,0.8088888888888889,0.8105562200956937,37,27200.147283792496
1,40,svm,5,-,3,0.26732673267326734,0.9856733524355301,0.84375,0.8229665071770335,0.406015037593985,0.8970013037809647,64,836,688,148,10,54,0.8244444444444444,0.8333582535885167,33,19536.4800260067
0,40,knn,5,-,6,0.7083333333333334,0.9463470319634704,0.265625,0.9916267942583732,0.3863636363636364,0.9684579439252337,64,836,829,7,47,17,0.94,0.6286258971291866,38,57342.38859248161
1,40,svm,5,-,3,0.260638297872,0.97893258427,0.765625,0.833732057416,0.388888888889,0.900516795866,64,836,697,139,15,49,0.828888888889,0.799678528708,32,12784.756062746048
