balance,DEEP MAX,classifier,P1,P2,#Exec,PPV_S,PPV_NS,TPR_S,TPR_NS,F1_S,F1_NS,SUP_S,SUP_NS,TN,FP,FN,TP,Acc,AUC,Deep,Training Time
1,10,nb,5,-,1,0.15482412770165277,0.9747275890486219,0.7988338192419825,0.6401852297329805,0.25937758845107084,0.7728048205016516,1372,16628,10645,5983,276,1096,0.6522777777777777,0.7195095244874814,10,47489.150923252106
1,10,dt,5,-,1,0.14427425237053246,0.9656348138178555,0.7208454810495627,0.6472215540052922,0.2404278594870548,0.77499729953552,1372,16628,10762,5866,383,989,0.6528333333333334,0.6840335175274276,10,55860.62669277191
1,10,nb,5,-,1,0.158015158015158,0.975742709185064,0.8053935860058309,0.6458984844840029,0.26419605499103405,0.7772751944997287,1372,16628,10740,5888,267,1105,0.6580555555555555,0.725646035244917,10,57559.227847099304
1,10,nb,5,-,2,0.16634829672078955,0.9720942140296979,0.7616618075801749,0.6850493144094298,0.27305983799320616,0.8037112820150992,1372,16628,11391,5237,327,1045,0.6908888888888889,0.7233555609948024,10,10205.970153808594
1,10,nb,5,-,3,0.15635272259539804,0.9747341634099791,0.7973760932944607,0.6449963916285782,0.2614410323814076,0.776301979660526,1372,16628,10725,5903,278,1094,0.6566111111111111,0.7211862424615196,10,39220.84157180786
1,10,nb,5,-,4,0.15040923118207433,0.9762017635346544,0.8170553935860059,0.6191965359634352,0.2540509915014164,0.7577552897884086,1372,16628,10296,6332,251,1121,0.6342777777777778,0.7181259647747206,9,34918.93704009056
1,10,nb,5,-,5,0.164614185502728,0.9727233491583944,0.7696793002915452,0.6777122925186433,0.271221266212919,0.7988515932371603,1372,16628,11269,5359,316,1056,0.6847222222222222,0.7236957964050942,10,28826.628311395645
1,10,svm,5,rbf,1,0.171395387423262,0.9716862941618641,0.7529154518950437,0.6996632186673082,0.2792269225571023,0.8135379881822316,1372,16628,11634,4994,339,1033,0.7037222222222222,0.726289335281176,10,185543.554302454
1,10,dt,5,-,2,0.15891346779440468,0.966672291596355,0.7120991253644315,0.689018522973298,0.2598404255319149,0.8045646067415732,1372,16628,11457,5171,395,977,0.6907777777777778,0.7005588241688648,10,134356.35256624222
1,10,mlp,15,relu,1,0.174278038952,0.972268349386,0.756559766764,0.704233822468,0.283296943231,0.816824776786,1372,16628,11710,4918,334,1038,0.708222222222,0.730396794616,10,217358.14317703247
