Balanced,#Neurons,Activattion,#Exec,PPV_S,PPV_NS,TPR_S,TPR_NS,F1_S,F1_NS,SUP_S,SUP_NS,TN,FP,FN,TP,Acc,AUC0,AUC1
1,5,logistic,0,0.51656920078,0.525210084034,0.701058201058,0.335120643432,0.594837261504,0.409165302782,378,373,265,113,248,125,0.51930758988,0.518089422245,0.518089422245
1,5,logistic,1,0.734848484848,0.769014084507,0.780160857909,0.722222222222,0.756827048114,0.744884038199,373,378,291,82,105,273,0.750998668442,0.751191540066,0.751191540066
1,5,logistic,2,0.654545454545,0.497126436782,0.0932642487047,0.947945205479,0.163265306122,0.652214891612,386,365,36,350,19,346,0.508655126498,0.520604727092,0.520604727092
1,5,logistic,3,0.49377593361,0.714285714286,0.978082191781,0.0518134715026,0.65625,0.0966183574879,365,386,357,8,366,20,0.501997336884,0.514947831642,0.514947831642
1,5,logistic,4,0.661111111111,0.546409807356,0.314814814815,0.836461126005,0.426523297491,0.661016949153,378,373,119,259,61,312,0.573901464714,0.57563797041,0.57563797041
1,5,logistic,5,0.494623655914,0.714285714286,0.994594594595,0.0131233595801,0.660682226212,0.0257731958763,370,381,368,2,376,5,0.496671105193,0.503858977087,0.503858977087
1,5,logistic,6,0.5346215781,0.676923076923,0.887700534759,0.233421750663,0.667336683417,0.347140039448,374,377,332,42,289,88,0.559254327563,0.560561142711,0.560561142711
1,5,logistic,7,0.762755102041,0.793871866295,0.801608579088,0.753968253968,0.781699346405,0.773405698779,373,378,299,74,93,285,0.777629826897,0.777788416528,0.777788416528
1,5,logistic,8,0.515576323988,0.587155963303,0.880319148936,0.170666666667,0.650294695481,0.264462809917,376,375,331,45,311,64,0.525965379494,0.525492907801,0.525492907801
1,5,logistic,9,0.556701030928,0.715976331361,0.870967741935,0.31926121372,0.679245283019,0.441605839416,372,379,324,48,258,121,0.592543275632,0.595114477828,0.595114477828
1,5,logistic,10,0.61369193154,0.657894736842,0.682065217391,0.587467362924,0.646074646075,0.620689655172,368,383,251,117,158,225,0.633821571238,0.634766290158,0.634766290158
1,5,logistic,11,0.757033248082,0.772222222222,0.783068783069,0.745308310992,0.769830949285,0.758526603001,378,373,296,82,95,278,0.76431424767,0.76418854703,0.76418854703
1,5,logistic,12,0.611764705882,0.549053356282,0.284153005464,0.828571428571,0.388059701493,0.660455486542,366,385,104,262,66,319,0.563249001332,0.556362217018,0.556362217018
1,5,logistic,13,0.507402422611,0.875,0.997354497354,0.0187667560322,0.672613737734,0.0367454068241,378,373,377,1,366,7,0.511318242344,0.508060626693,0.508060626693
1,5,logistic,14,0.629787234043,0.552325581395,0.390501319261,0.766129032258,0.482084690554,0.641891891892,379,372,148,231,87,285,0.576564580559,0.57831517576,0.57831517576
1,5,logistic,15,0.545454545455,0.553633217993,0.661417322835,0.432432432432,0.597864768683,0.485584218513,381,370,252,129,210,160,0.548601864181,0.546924877634,0.546924877634
1,5,logistic,16,0.49273255814,0.619047619048,0.933884297521,0.100515463918,0.645099904853,0.172949002217,363,388,339,24,349,39,0.503328894807,0.517199880719,0.517199880719
1,5,logistic,17,0.514372163389,0.6,0.904255319149,0.144,0.655737704918,0.232258064516,376,375,340,36,321,54,0.524633821571,0.524127659574,0.524127659574
1,5,logistic,18,0.515850144092,0.701754385965,0.954666666667,0.106382978723,0.66978484565,0.184757505774,375,376,358,17,336,40,0.529960053262,0.530524822695,0.530524822695
1,5,logistic,19,0.759067357513,0.750684931507,0.763020833333,0.74659400545,0.761038961039,0.748633879781,384,367,293,91,93,274,0.75499334221,0.754807419391,0.754807419391
1,5,logistic,20,0.0,0.492656875834,0.0,0.99460916442,0.0,0.658928571429,380,371,0,380,2,369,0.491344873502,0.49730458221,0.49730458221
1,5,logistic,21,0.615625,0.573085846868,0.517060367454,0.667567567568,0.562054208274,0.616729088639,381,370,197,184,123,247,0.59121171771,0.592313967511,0.592313967511
1,5,logistic,22,0.559585492228,0.709302325581,0.866310160428,0.323607427056,0.679958027282,0.444444444444,374,377,324,50,255,122,0.593874833555,0.594958793742,0.594958793742
1,5,logistic,23,0.73,0.763532763533,0.778666666667,0.712765957447,0.753548387097,0.73727647868,375,376,292,83,108,268,0.745672436751,0.745716312057,0.745716312057
1,5,logistic,24,0.768907563025,0.621832358674,0.485411140584,0.852941176471,0.59512195122,0.719278466742,377,374,183,194,55,319,0.66844207723,0.669176158527,0.669176158527
1,5,logistic,25,0.758620689655,0.531626506024,0.175066312997,0.94385026738,0.284482758621,0.680154142582,377,374,66,311,21,353,0.55792276964,0.559458290189,0.559458290189
1,5,logistic,26,0.746803069054,0.747222222222,0.762402088773,0.73097826087,0.754521963824,0.739010989011,383,368,292,91,99,269,0.747003994674,0.746690174821,0.746690174821
1,5,logistic,27,0.746835443038,0.803370786517,0.808219178082,0.740932642487,0.776315789474,0.770889487871,365,386,295,70,100,286,0.773635153129,0.774575910285,0.774575910285
