K,Balanced,#Exec,PPV_S,PPV_NS,TPR_S,TPR_NS,F1_S,F1_NS,SUP_S,SUP_NS,TN,FP,FN,TP,Acc,AUC0,AUC1
3,1,0,0.6058394160583942,0.6176470588235294,0.6569920844327177,0.5645161290322581,0.6303797468354431,0.5898876404494383,379,372,210,162,130,249,0.611185086551265,0.6107541067324879,0.610754106732488
3,1,1,0.6093366093366094,0.625,0.6578249336870027,0.5748663101604278,0.6326530612244898,0.5988857938718664,377,374,215,159,129,248,0.6165113182423435,0.6163456219237152,0.6163456219237152
3,1,2,0.6049382716049383,0.6358381502890174,0.660377358490566,0.5789473684210527,0.6314432989690721,0.6060606060606061,371,380,220,160,126,245,0.6191744340878829,0.6196623634558094,0.6196623634558094
3,1,3,0.5935960591133005,0.6405797101449275,0.6602739726027397,0.572538860103627,0.6251621271076524,0.6046511627906976,365,386,221,165,124,241,0.6151797603195739,0.6164064163531834,0.6164064163531834
3,1,4,0.5847665847665847,0.6191860465116279,0.6449864498644986,0.5575916230366492,0.6134020618556699,0.5867768595041322,369,382,213,169,131,238,0.6005326231691078,0.601289036450574,0.6012890364505739
3,1,5,0.6370757180156658,0.6277173913043478,0.6404199475065617,0.6243243243243243,0.6387434554973822,0.6260162601626016,381,370,231,139,137,244,0.6324900133155792,0.6323721359154431,0.6323721359154431
3,1,6,0.6130653266331658,0.6260623229461756,0.648936170212766,0.5893333333333334,0.6304909560723514,0.6071428571428571,376,375,221,154,132,244,0.6191744340878829,0.6191347517730497,0.6191347517730497
3,1,7,0.5955334987593052,0.5948275862068966,0.6299212598425197,0.5594594594594594,0.6122448979591836,0.5766016713091922,381,370,207,163,141,240,0.5952063914780293,0.5946903596509896,0.5946903596509895
3,1,8,0.618798955613577,0.6222826086956522,0.6303191489361702,0.6106666666666667,0.624505928853755,0.6164199192462989,376,375,229,146,139,237,0.6205059920106525,0.6204929078014184,0.6204929078014184
3,1,9,0.6183574879227053,0.6498516320474778,0.6844919786096256,0.5809018567639257,0.649746192893401,0.6134453781512605,374,377,219,158,118,256,0.6324900133155792,0.6326969176867756,0.6326969176867758
3,1,10,0.6059113300492611,0.6376811594202898,0.6630727762803235,0.5789473684210527,0.6332046332046332,0.6068965517241379,371,380,220,160,125,246,0.6205059920106525,0.6210100723506881,0.6210100723506881
3,1,11,0.6214833759590793,0.6277777777777778,0.6445623342175066,0.6042780748663101,0.6328125,0.6158038147138964,377,374,226,148,134,243,0.6245006657789614,0.6244202045419084,0.6244202045419084
3,1,12,0.6243781094527363,0.6475644699140402,0.6711229946524064,0.5994694960212201,0.6469072164948454,0.6225895316804407,374,377,226,151,123,251,0.6351531291611185,0.6352962453368133,0.6352962453368133
