Balanced,#Exec,PPV_S,PPV_NS,TPR_S,TPR_NS,F1_S,F1_NS,SUP_S,SUP_NS,TN,FP,FN,TP,Acc,AUC0,AUC1
1,0,0.64738292011,0.644329896907,0.630026809651,0.661375661376,0.638586956522,0.65274151436,373,378,235,138,128,250,0.645805592543,0.645701235514,0.645701235514
1,1,0.645333333333,0.670212765957,0.661202185792,0.654545454545,0.653171390013,0.662286465177,366,385,242,124,133,252,0.657789613848,0.657873820169,0.657873820169
1,2,0.63523573201,0.649425287356,0.677248677249,0.605898123324,0.65556978233,0.626907073509,378,373,256,122,147,226,0.641810918775,0.641573400287,0.641573400287
1,3,0.632098765432,0.690751445087,0.70523415978,0.615979381443,0.666666666667,0.651226158038,363,388,256,107,149,239,0.659121171771,0.660606770611,0.660606770611
1,4,0.635933806147,0.682926829268,0.721179624665,0.592592592593,0.675879396985,0.634560906516,373,378,269,104,154,224,0.656458055925,0.656886108629,0.656886108629
1,5,0.680327868852,0.680519480519,0.66935483871,0.691292875989,0.674796747967,0.685863874346,372,379,249,123,117,262,0.680426098535,0.68032385735,0.68032385735
1,6,0.649382716049,0.664739884393,0.693931398417,0.618279569892,0.670918367347,0.640668523677,379,372,263,116,142,230,0.656458055925,0.656105484155,0.656105484155
1,7,0.676470588235,0.684350132626,0.680107526882,0.68073878628,0.678284182306,0.68253968254,372,379,253,119,121,258,0.680426098535,0.680423156581,0.680423156581
1,8,0.665094339623,0.694189602446,0.738219895288,0.615176151762,0.699751861042,0.652298850575,382,369,282,100,142,227,0.67776298269,0.676698023525,0.676698023525
1,9,0.655696202532,0.671348314607,0.688829787234,0.637333333333,0.671854734112,0.65389876881,376,375,259,117,136,239,0.663115845539,0.663081560284,0.663081560284
1,10,0.61975308642,0.638728323699,0.667553191489,0.589333333333,0.642765685019,0.613037447989,376,375,251,125,154,221,0.628495339547,0.628443262411,0.628443262411
1,11,0.647642679901,0.655172413793,0.685039370079,0.616216216216,0.665816326531,0.635097493036,381,370,261,120,142,228,0.651131824234,0.650627793147,0.650627793147
1,12,0.671122994652,0.668435013263,0.667553191489,0.672,0.669333333333,0.670212765957,376,375,251,125,123,252,0.669773635153,0.669776595745,0.669776595745
1,13,0.619277108434,0.66369047619,0.694594594595,0.58530183727,0.654777070064,0.622036262204,370,381,257,113,158,223,0.639147802929,0.639948215932,0.639948215932
1,14,0.659949622166,0.66384180791,0.687664041995,0.635135135135,0.6735218509,0.649171270718,381,370,262,119,135,235,0.661784287617,0.661399588565,0.661399588565
1,15,0.665803108808,0.671232876712,0.681697612732,0.655080213904,0.673656618611,0.663058186739,377,374,257,120,129,245,0.66844207723,0.668388913318,0.668388913318
1,16,0.678100263852,0.682795698925,0.685333333333,0.675531914894,0.681697612732,0.679144385027,375,376,257,118,122,254,0.680426098535,0.680432624113,0.680432624113
1,17,0.64247311828,0.64907651715,0.64247311828,0.64907651715,0.64247311828,0.64907651715,372,379,239,133,133,246,0.645805592543,0.645774817715,0.645774817715
1,18,0.652777777778,0.689655172414,0.740157480315,0.594594594595,0.693726937269,0.638606676343,381,370,282,99,150,220,0.66844207723,0.667376037455,0.667376037455
1,19,0.689473684211,0.681940700809,0.689473684211,0.681940700809,0.689473684211,0.681940700809,380,371,262,118,118,253,0.685752330226,0.68570719251,0.68570719251
1,20,0.645569620253,0.679775280899,0.691056910569,0.633507853403,0.667539267016,0.655826558266,369,382,255,114,140,242,0.661784287617,0.662282381986,0.662282381986
1,21,0.691689008043,0.687830687831,0.686170212766,0.693333333333,0.688918558077,0.690571049137,376,375,258,118,115,260,0.689747003995,0.68975177305,0.68975177305
1,22,0.639386189258,0.663888888889,0.673854447439,0.628947368421,0.656167979003,0.645945945946,371,380,250,121,141,239,0.651131824234,0.65140090793,0.65140090793
1,23,0.617571059432,0.623626373626,0.635638297872,0.605333333333,0.626474442988,0.614343707713,376,375,239,137,148,227,0.620505992011,0.620485815603,0.620485815603
1,24,0.662404092072,0.652777777778,0.674479166667,0.640326975477,0.668387096774,0.646492434663,384,367,259,125,132,235,0.657789613848,0.657403071072,0.657403071072
1,25,0.631043256997,0.653631284916,0.666666666667,0.617414248021,0.648366013072,0.635006784261,372,379,248,124,145,234,0.641810918775,0.642040457344,0.642040457344
1,26,0.700272479564,0.690104166667,0.683510638298,0.706666666667,0.691790040377,0.698287220026,376,375,257,119,110,265,0.695073235686,0.695088652482,0.695088652482
1,27,0.651629072682,0.676136363636,0.695187165775,0.631299734748,0.672703751617,0.652949245542,374,377,260,114,139,238,0.663115845539,0.663243450262,0.663243450262
1,28,0.678663239075,0.67955801105,0.694736842105,0.66307277628,0.686605981795,0.671214188267,380,371,264,116,125,246,0.679094540613,0.678904809193,0.678904809193
1,29,0.658227848101,0.676966292135,0.693333333333,0.640957446809,0.675324675325,0.658469945355,375,376,260,115,135,241,0.667110519308,0.667145390071,0.667145390071
1,30,0.648293963255,0.654054054054,0.658666666667,0.643617021277,0.653439153439,0.648793565684,375,376,247,128,134,242,0.651131824234,0.651141843972,0.651141843972
1,31,0.664948453608,0.68870523416,0.695417789757,0.657894736842,0.679841897233,0.672947510094,371,380,258,113,130,250,0.676431424767,0.6766562633,0.6766562633
1,32,0.649717514124,0.627204030227,0.608465608466,0.667560321716,0.628415300546,0.646753246753,378,373,230,148,124,249,0.637816245007,0.638012965091,0.638012965091
1,33,0.697368421053,0.703504043127,0.706666666667,0.69414893617,0.701986754967,0.698795180723,375,376,265,110,115,261,0.700399467377,0.700407801418,0.700407801418
