Balanced,#Exec,PPV_S,PPV_NS,TPR_S,TPR_NS,F1_S,F1_NS,SUP_S,SUP_NS,TN,FP,FN,TP,Acc,AUC0,AUC1
1,0,0.672,0.6702127659574468,0.6702127659574468,0.672,0.6711051930758989,0.6711051930758989,376,375,252,124,123,252,0.6711051930758988,0.6711063829787234,0.6711063829787235
1,1,0.6525,0.6866096866096866,0.7035040431266847,0.6342105263157894,0.6770428015564203,0.6593707250341997,371,380,261,110,139,241,0.6684420772303595,0.6688572847212371,0.6688572847212371
1,2,0.6385869565217391,0.6527415143603134,0.6385869565217391,0.6527415143603134,0.6385869565217391,0.6527415143603134,368,383,235,133,133,250,0.6458055925432756,0.6456642354410262,0.6456642354410262
1,3,0.6770538243626062,0.635678391959799,0.6223958333333334,0.6893732970027248,0.6485753052917231,0.6614379084967321,384,367,239,145,114,253,0.6551264980026631,0.6558845651680292,0.655884565168029
1,4,0.6472222222222223,0.649616368286445,0.6297297297297297,0.6666666666666666,0.6383561643835618,0.6580310880829016,370,381,233,137,127,254,0.6484687083888149,0.6481981981981983,0.6481981981981981
1,5,0.6714697406340058,0.6361386138613861,0.6131578947368421,0.692722371967655,0.6409903713892711,0.6632258064516128,380,371,233,147,114,257,0.6524633821571239,0.6529401333522485,0.6529401333522485
1,6,0.6950146627565983,0.6658536585365854,0.6336898395721925,0.7241379310344828,0.662937062937063,0.6937738246505718,374,377,237,137,104,273,0.6790945406125166,0.6789138853033377,0.6789138853033376
1,7,0.6734104046242775,0.6444444444444445,0.6180371352785146,0.6978609625668449,0.6445366528354081,0.6700898587933248,377,374,233,144,113,261,0.6577896138482024,0.6579490489226798,0.6579490489226797
1,8,0.6349206349206349,0.5924932975871313,0.6122448979591837,0.6155988857938719,0.6233766233766234,0.6038251366120219,392,359,240,152,138,221,0.6138482023968043,0.6139218918765278,0.6139218918765278
1,9,0.6566757493188011,0.6536458333333334,0.6443850267379679,0.6657824933687002,0.6504723346828609,0.659658344283837,374,377,241,133,126,251,0.6551264980026631,0.6550837600533341,0.6550837600533341
1,10,0.6627565982404692,0.6463414634146342,0.6091644204851752,0.6973684210526315,0.6348314606741572,0.6708860759493671,371,380,226,145,115,265,0.6537949400798935,0.6532664207689035,0.6532664207689033
1,11,0.6294416243654822,0.6610644257703081,0.6720867208672087,0.6178010471204188,0.6500655307994757,0.638700947225981,369,382,248,121,146,236,0.644474034620506,0.6449438839938137,0.6449438839938136
1,12,0.6925207756232687,0.6794871794871795,0.6666666666666666,0.7047872340425532,0.6793478260869567,0.6919060052219321,375,376,250,125,111,265,0.6857523302263648,0.68572695035461,0.68572695035461
1,13,0.6666666666666666,0.676056338028169,0.6965699208443272,0.6451612903225806,0.6812903225806453,0.6602475928473178,379,372,264,115,132,240,0.6711051930758988,0.6708656055834539,0.6708656055834539
1,14,0.6752577319587629,0.6831955922865014,0.6949602122015915,0.6631016042780749,0.6849673202614379,0.6729986431478969,377,374,262,115,126,248,0.6790945406125166,0.6790309082398331,0.6790309082398331
1,15,0.6714285714285714,0.6508728179551122,0.6266666666666667,0.6941489361702128,0.6482758620689655,0.6718146718146719,375,376,235,140,115,261,0.6604527296937417,0.6604078014184397,0.6604078014184398
1,16,0.684971098265896,0.6592592592592592,0.632,0.7101063829787234,0.6574202496532594,0.6837387964148528,375,376,237,138,109,267,0.6711051930758988,0.6710531914893617,0.6710531914893617
1,17,0.6631299734748011,0.6925133689839572,0.684931506849315,0.6709844559585493,0.6738544474393532,0.6815789473684211,365,386,250,115,127,259,0.677762982689747,0.677957981403932,0.6779579814039323
1,18,0.655367231638418,0.6448362720403022,0.6219839142091153,0.6772486772486772,0.6382393397524072,0.6606451612903226,373,378,232,141,122,256,0.6498002663115846,0.6496162957288962,0.6496162957288962
1,19,0.6510989010989011,0.6511627906976745,0.6370967741935484,0.6649076517150396,0.6440217391304348,0.6579634464751959,372,379,237,135,127,252,0.6511318242343542,0.6510022129542941,0.6510022129542941
1,20,0.6904109589041096,0.6761658031088082,0.6684350132625995,0.6978609625668449,0.679245283018868,0.6868421052631578,377,374,252,125,113,261,0.6830892143808256,0.6831479879147222,0.6831479879147222
1,21,0.6871345029239766,0.6552567237163814,0.625,0.7146666666666667,0.6545961002785515,0.6836734693877552,376,375,235,141,107,268,0.6697736351531292,0.6698333333333333,0.6698333333333333
1,22,0.6810810810810811,0.6666666666666666,0.6649076517150396,0.6827956989247311,0.6728971962616822,0.6746347941567065,379,372,252,127,118,254,0.6737683089214381,0.6738516753198855,0.6738516753198853
1,23,0.6396648044692738,0.6310432569974554,0.6122994652406417,0.6578249336870027,0.6256830601092898,0.6441558441558441,374,377,229,145,129,248,0.6351531291611185,0.6350621994638221,0.6350621994638221
1,24,0.6632390745501285,0.6685082872928176,0.6825396825396826,0.6487935656836461,0.6727509778357237,0.6585034013605442,378,373,258,120,131,242,0.6657789613848203,0.6656666241116643,0.6656666241116643
1,25,0.660056657223796,0.6482412060301508,0.6246648793565683,0.6825396825396826,0.6418732782369146,0.6649484536082475,373,378,233,140,120,258,0.6537949400798935,0.6536022809481254,0.6536022809481254
1,26,0.6409574468085106,0.6693333333333333,0.6602739726027397,0.6502590673575129,0.650472334682861,0.659658344283837,365,386,241,124,135,251,0.6551264980026631,0.6552665199801263,0.6552665199801264
1,27,0.6555555555555556,0.6470588235294118,0.6310160427807486,0.6710875331564987,0.6430517711171662,0.6588541666666666,374,377,236,138,124,253,0.6511318242343542,0.6510517879686237,0.6510517879686237
1,28,0.6143617021276596,0.6266666666666667,0.6226415094339622,0.618421052631579,0.6184738955823292,0.6225165562913908,371,380,231,140,145,235,0.6205059920106525,0.6205312810327707,0.6205312810327706
1,29,0.6836158192090396,0.6675062972292192,0.6470588235294118,0.7029177718832891,0.6648351648351648,0.6847545219638242,374,377,242,132,112,265,0.6750998668442078,0.6749882977063504,0.6749882977063504
1,30,0.6794520547945205,0.6709844559585493,0.6613333333333333,0.6888297872340425,0.6702702702702703,0.6797900262467191,375,376,248,127,117,259,0.6750998668442078,0.6750815602836879,0.6750815602836879
1,31,0.7401812688821753,0.6666666666666666,0.6363636363636364,0.7650273224043715,0.6843575418994413,0.712468193384224,385,366,245,140,86,280,0.6990679094540613,0.7006954793840039,0.7006954793840039
1,32,0.6276849642004774,0.6897590361445783,0.7185792349726776,0.5948051948051948,0.6700636942675159,0.6387726638772664,366,385,263,103,156,229,0.6551264980026631,0.6566922148889361,0.6566922148889361
1,33,0.648854961832061,0.6731843575418994,0.6854838709677419,0.6358839050131926,0.6666666666666666,0.6540027137042062,372,379,255,117,138,241,0.6604527296937417,0.6606838879904673,0.6606838879904673
1,34,0.6813471502590673,0.6958904109589041,0.7032085561497327,0.6737400530503979,0.6921052631578948,0.6846361185983827,374,377,263,111,123,254,0.6884154460719041,0.6884743046000652,0.6884743046000651
1,35,0.6739130434782609,0.6736292428198434,0.6648793565683646,0.6825396825396826,0.6693657219973009,0.6780551905387648,373,378,248,125,120,258,0.6737683089214381,0.6737095195540236,0.6737095195540236
1,36,0.6763157894736842,0.6792452830188679,0.6835106382978723,0.672,0.67989417989418,0.675603217158177,376,375,257,119,123,252,0.677762982689747,0.677755319148936,0.6777553191489363
1,37,0.6246648793565683,0.6137566137566137,0.6147757255936676,0.6236559139784946,0.6196808510638298,0.6186666666666666,379,372,233,146,140,232,0.6191744340878829,0.6192158197860811,0.6192158197860811
1,38,0.6656976744186046,0.6314496314496314,0.604221635883905,0.6908602150537635,0.6334716459197787,0.6598202824133504,379,372,229,150,115,257,0.6471371504660453,0.6475409254688342,0.6475409254688342
1,39,0.6896551724137931,0.6674937965260546,0.6417112299465241,0.713527851458886,0.664819944598338,0.6897435897435898,374,377,240,134,108,269,0.677762982689747,0.6776195407027049,0.677619540702705
1,40,0.6620498614958449,0.6256410256410256,0.6207792207792208,0.6666666666666666,0.6407506702412868,0.6455026455026455,385,366,239,146,122,244,0.6431424766977364,0.6437229437229438,0.6437229437229437
1,41,0.6567567567567567,0.6509186351706037,0.6462765957446809,0.6613333333333333,0.6514745308310992,0.6560846560846562,376,375,243,133,127,248,0.6537949400798935,0.6538049645390072,0.653804964539007
1,42,0.6675675675675675,0.6482939632545932,0.6482939632545932,0.6675675675675675,0.6577896138482023,0.6577896138482023,381,370,247,134,123,247,0.6577896138482024,0.6579307654110804,0.6579307654110804
1,43,0.6414141414141414,0.6591549295774648,0.6773333333333333,0.6223404255319149,0.6588845654993515,0.640218878248974,375,376,254,121,142,234,0.6498002663115846,0.6498368794326241,0.6498368794326241
1,44,0.7030812324929971,0.6979695431472082,0.6783783783783783,0.7217847769028871,0.6905089408528198,0.7096774193548387,370,381,251,119,106,275,0.7003994673768309,0.7000815776406327,0.7000815776406327
1,45,0.6514285714285715,0.6234413965087282,0.6015831134564644,0.6720430107526881,0.6255144032921811,0.646830530401035,379,372,228,151,122,250,0.6364846870838882,0.6368130621045763,0.6368130621045763
1,46,0.7040498442367601,0.6581395348837209,0.6058981233243967,0.7486772486772487,0.6512968299711815,0.7004950495049506,373,378,226,147,95,283,0.677762982689747,0.6772876860008226,0.6772876860008228
1,47,0.701058201058201,0.6997319034852547,0.7029177718832891,0.6978609625668449,0.7019867549668874,0.6987951807228915,377,374,265,112,113,261,0.7003994673768309,0.700389367225067,0.700389367225067
1,48,0.6204986149584487,0.6333333333333333,0.6103542234332425,0.6432291666666666,0.6153846153846153,0.6382428940568475,367,384,224,143,137,247,0.6271637816245007,0.6267916950499547,0.6267916950499546
1,49,0.6647887323943662,0.648989898989899,0.6293333333333333,0.6835106382978723,0.6465753424657534,0.6658031088082902,375,376,236,139,119,257,0.6564580559254327,0.6564219858156028,0.6564219858156028
1,50,0.6501457725947521,0.625,0.5930851063829787,0.68,0.6203059805285118,0.6513409961685823,376,375,223,153,120,255,0.6364846870838882,0.6365425531914893,0.6365425531914894
1,51,0.662303664921466,0.6720867208672087,0.6764705882352942,0.6578249336870027,0.6693121693121693,0.6648793565683646,374,377,253,121,129,248,0.6671105193075899,0.6671477609611485,0.6671477609611484
1,52,0.6896551724137931,0.6597222222222222,0.5994550408719346,0.7421875,0.641399416909621,0.6985294117647058,367,384,220,147,99,285,0.6724367509986684,0.6708212704359673,0.6708212704359673
1,53,0.6815642458100558,0.6666666666666666,0.6506666666666666,0.6968085106382979,0.665757162346521,0.6814044213263979,375,376,244,131,114,262,0.6737683089214381,0.6737375886524822,0.6737375886524823
1,54,0.673352435530086,0.6616915422885572,0.633423180592992,0.7,0.6527777777777778,0.6803069053708439,371,380,235,136,114,266,0.6671105193075899,0.666711590296496,0.666711590296496
1,55,0.660377358490566,0.6289473684210526,0.6347150259067358,0.6547945205479452,0.6472919418758256,0.6416107382550336,386,365,245,141,126,239,0.644474034620506,0.6447547732273405,0.6447547732273404
1,56,0.6819484240687679,0.6716417910447762,0.6432432432432432,0.7086614173228346,0.6620305980528511,0.6896551724137931,370,381,238,132,111,270,0.6764314247669774,0.675952330283039,0.675952330283039
1,57,0.6864406779661016,0.6574307304785895,0.6411609498680739,0.7016129032258065,0.6630286493860846,0.6788036410923278,379,372,243,136,111,261,0.6711051930758988,0.6713869265469402,0.6713869265469402
1,58,0.6685878962536023,0.6534653465346535,0.6236559139784946,0.6965699208443272,0.6453407510431154,0.6743295019157087,372,379,232,140,115,264,0.6604527296937417,0.6601129174114109,0.6601129174114109
1,59,0.6220472440944882,0.6486486486486487,0.6457765667574932,0.625,0.6336898395721924,0.636604774535809,367,384,237,130,144,240,0.6351531291611185,0.6353882833787466,0.6353882833787465
1,60,0.6526315789473685,0.6522911051212938,0.6578249336870027,0.6470588235294118,0.6552179656538969,0.6496644295302014,377,374,248,129,132,242,0.6524633821571239,0.6524418786082071,0.6524418786082072
1,61,0.6567567567567567,0.6482939632545932,0.6445623342175066,0.660427807486631,0.6506024096385542,0.6543046357615895,377,374,243,134,127,247,0.6524633821571239,0.6524950708520688,0.6524950708520688
1,62,0.6579634464751958,0.6684782608695652,0.6737967914438503,0.6525198938992043,0.6657859973579922,0.6604026845637584,374,377,252,122,131,246,0.6631158455392809,0.6631583426715273,0.6631583426715273
1,63,0.632768361581921,0.6347607052896725,0.6070460704607046,0.6596858638743456,0.6196403872752421,0.6469833119383825,369,382,224,145,130,252,0.6338215712383488,0.633365967167525,0.633365967167525
1,64,0.6628571428571428,0.6384039900249376,0.6153846153846154,0.6844919786096256,0.6382393397524071,0.6606451612903226,377,374,232,145,118,256,0.6498002663115846,0.6499382969971206,0.6499382969971206
1,65,0.648876404494382,0.6481012658227848,0.6243243243243243,0.6719160104986877,0.6363636363636362,0.6597938144329898,370,381,231,139,125,256,0.6484687083888149,0.648120167411506,0.648120167411506
1,66,0.6802325581395349,0.6511056511056511,0.6223404255319149,0.7066666666666667,0.6500000000000001,0.6777493606138107,376,375,234,142,110,265,0.6644474034620506,0.6645035460992907,0.6645035460992907
1,67,0.6884272997032641,0.6618357487922706,0.6236559139784946,0.7229551451187335,0.6544428772919605,0.6910466582597731,372,379,232,140,105,274,0.6737683089214381,0.6733055295486141,0.673305529548614
1,68,0.6695156695156695,0.655,0.6300268096514745,0.6931216931216931,0.6491712707182321,0.6735218508997429,373,378,235,138,116,262,0.6617842876165113,0.6615742513865839,0.6615742513865839
1,69,0.6902173913043478,0.6892950391644909,0.6809651474530831,0.6984126984126984,0.6855600539811066,0.6938239159001314,373,378,254,119,114,264,0.6897470039946738,0.6896889229328907,0.6896889229328907
1,70,0.6475644699140402,0.6368159203980099,0.6075268817204301,0.6754617414248021,0.6269070735090154,0.6555697823303457,372,379,226,146,123,256,0.6418109187749668,0.641494311572616,0.6414943115726162
1,71,0.6614420062695925,0.6226851851851852,0.5641711229946524,0.713527851458886,0.608946608946609,0.6650185414091472,374,377,211,163,108,269,0.6391478029294274,0.6388494872267692,0.6388494872267693
1,72,0.6390977443609023,0.6676136363636364,0.6854838709677419,0.6200527704485488,0.6614785992217899,0.6429548563611491,372,379,255,117,144,235,0.6524633821571239,0.6527683207081454,0.6527683207081454
1,73,0.6613333333333333,0.6702127659574468,0.6666666666666666,0.6649076517150396,0.6639892904953146,0.6675496688741722,372,379,248,124,127,252,0.6657789613848203,0.6657871591908532,0.6657871591908532
1,74,0.6693333333333333,0.6648936170212766,0.6657824933687002,0.6684491978609626,0.6675531914893617,0.6666666666666667,377,374,251,126,124,250,0.6671105193075899,0.6671158456148314,0.6671158456148314
1,75,0.6535211267605634,0.6388888888888888,0.6186666666666667,0.6728723404255319,0.6356164383561644,0.655440414507772,375,376,232,143,123,253,0.6458055925432756,0.6457695035460993,0.6457695035460993
1,76,0.6581920903954802,0.6675062972292192,0.6383561643835617,0.6865284974093264,0.6481223922114047,0.6768837803320562,365,386,233,132,121,265,0.6631158455392809,0.6624423308964441,0.6624423308964439
1,77,0.6823529411764706,0.6447688564476886,0.6137566137566137,0.710455764075067,0.6462395543175488,0.6760204081632654,378,373,232,146,108,265,0.6617842876165113,0.6621061889158404,0.6621061889158404
1,78,0.6613333333333333,0.6728723404255319,0.6684636118598383,0.6657894736842105,0.6648793565683646,0.6693121693121693,371,380,248,123,127,253,0.6671105193075899,0.6671265427720244,0.6671265427720244
1,79,0.6580459770114943,0.6451612903225806,0.6155913978494624,0.6860158311345647,0.6361111111111111,0.6649616368286445,372,379,229,143,119,260,0.6511318242343542,0.6508036144920136,0.6508036144920135
1,80,0.6657608695652174,0.6788511749347258,0.6657608695652174,0.6788511749347258,0.6657608695652174,0.6788511749347258,368,383,245,123,123,260,0.6724367509986684,0.6723060222499716,0.6723060222499715
1,81,0.6455026455026455,0.646112600536193,0.648936170212766,0.6426666666666667,0.6472148541114058,0.6443850267379679,376,375,244,132,134,241,0.6458055925432756,0.6458014184397164,0.6458014184397164
1,82,0.6397058823529411,0.6763848396501457,0.7016129032258065,0.6121372031662269,0.6692307692307692,0.6426592797783933,372,379,261,111,147,232,0.6564580559254327,0.6568750531960167,0.6568750531960167
1,83,0.6765498652291105,0.6684210526315789,0.6657824933687002,0.679144385026738,0.6711229946524063,0.6737400530503979,377,374,251,126,120,254,0.6724367509986684,0.6724634391977191,0.6724634391977191
1,84,0.6591549295774648,0.6439393939393939,0.624,0.6781914893617021,0.6410958904109588,0.6606217616580311,375,376,234,141,121,255,0.6511318242343542,0.6510957446808512,0.6510957446808512
1,85,0.6722222222222223,0.6751918158567775,0.6558265582655827,0.6910994764397905,0.663923182441701,0.6830530401034929,369,382,242,127,118,264,0.6737683089214381,0.6734630173526867,0.6734630173526867
1,86,0.626984126984127,0.6353887399463807,0.6353887399463807,0.626984126984127,0.6311584553928096,0.6311584553928096,373,378,237,136,141,237,0.6311584553928096,0.6311864334652537,0.6311864334652537
1,87,0.6704225352112676,0.6464646464646465,0.6296296296296297,0.6863270777479893,0.6493860845839017,0.6657997399219766,378,373,238,140,117,256,0.6577896138482024,0.6579783536888095,0.6579783536888095
1,88,0.6629213483146067,0.6177215189873417,0.6098191214470284,0.6703296703296703,0.6352624495289367,0.6429512516469037,387,364,236,151,120,244,0.6391478029294274,0.6400743958883494,0.6400743958883492
1,89,0.6714285714285714,0.6483790523690773,0.625,0.6933333333333334,0.6473829201101928,0.6701030927835052,376,375,235,141,115,260,0.6591211717709721,0.6591666666666667,0.6591666666666667
