Balanced,Kernel,#Exec,PPV_S,PPV_NS,TPR_S,TPR_NS,F1_S,F1_NS,SUP_S,SUP_NS,TN,FP,FN,TP,Acc,AUC0,AUC1
1,linear,0,0.17,0.94125,0.265625,0.9007177033492823,0.2073170731707317,0.9205378973105134,64,836,17,47,83,753,0.8555555555555555,0.5831713516746411,0.5831713516746411
1,linear,1,0.12109375,0.9487577639751553,0.484375,0.7308612440191388,0.19375,0.8256756756756757,64,836,31,33,225,611,0.7133333333333334,0.6076181220095694,0.6076181220095693
1,linear,2,0.1927710843373494,0.9412484700122399,0.25,0.9198564593301436,0.217687074829932,0.9304295220810647,64,836,16,48,67,769,0.8722222222222222,0.5849282296650716,0.5849282296650717
1,linear,3,0.15492957746478872,0.9445910290237467,0.34375,0.8564593301435407,0.21359223300970873,0.8983688833124215,64,836,22,42,120,716,0.82,0.6001046650717704,0.6001046650717703
1,linear,4,0.14457831325301204,0.9363525091799265,0.1875,0.9150717703349283,0.16326530612244894,0.9255898366606171,64,836,12,52,71,765,0.8633333333333333,0.5512858851674641,0.5512858851674641
1,linear,5,0.152317880794702,0.945260347129506,0.359375,0.84688995215311,0.21395348837209302,0.8933753943217666,64,836,23,41,128,708,0.8122222222222222,0.6031324760765551,0.6031324760765551
1,linear,6,0.14655172413793102,0.9400510204081632,0.265625,0.881578947368421,0.18888888888888886,0.9098765432098764,64,836,17,47,99,737,0.8377777777777777,0.5736019736842104,0.5736019736842105
1,linear,7,0.1440677966101695,0.9398976982097187,0.265625,0.8791866028708134,0.18681318681318682,0.9085290482076638,64,836,17,47,101,735,0.8355555555555556,0.5724058014354066,0.5724058014354068
1,linear,8,0.14705882352941177,0.9385964912280702,0.234375,0.895933014354067,0.18072289156626506,0.9167686658506732,64,836,15,49,87,749,0.8488888888888889,0.5651540071770335,0.5651540071770336
1,linear,9,0.125,0.931924882629108,0.09375,0.9497607655502392,0.10714285714285714,0.9407582938388627,64,836,6,58,42,794,0.8888888888888888,0.5217553827751196,0.5217553827751196
