Balanced,#Neurons,Activattion,#Exec,PPV_S,PPV_NS,TPR_S,TPR_NS,F1_S,F1_NS,SUP_S,SUP_NS,TN,FP,FN,TP,Acc,AUC0,AUC1
1,100,logistic,0,0.754820936639,0.747422680412,0.736559139785,0.765171503958,0.745578231293,0.756192959583,372,379,274,98,89,290,0.750998668442,0.750865321871,0.750865321871
0,100,logistic,0,0.679347826087,0.891700404858,0.368731563422,0.96760021966,0.478011472275,0.928101132473,339,1821,125,214,59,1762,0.873611111111,0.668165891541,0.668165891541
1,1000,logistic,0,0.590747330961,0.777777777778,0.887700534759,0.389920424403,0.709401709402,0.519434628975,374,377,332,42,230,147,0.637816245007,0.638810479581,0.638810479581
0,1000,logistic,0,0.760563380282,0.863571086644,0.159292035398,0.990664470071,0.263414634146,0.922762148338,339,1821,54,285,17,1804,0.860185185185,0.574978252735,0.574978252735
1,10000,logistic,0,0.525862068966,0.763636363636,0.965699208443,0.112903225806,0.680930232558,0.196721311475,379,372,366,13,330,42,0.54327563249,0.539301217125,0.539301217125
0,10000,logistic,0,0.0,0.842056507642,0.0,0.999450247389,0.0,0.914027149321,341,1819,0,341,1,1818,0.841666666667,0.499725123694,0.499725123694
1,100,relu,0,0.781767955801,0.766066838046,0.756684491979,0.790450928382,0.76902173913,0.778067885117,374,377,283,91,79,298,0.773635153129,0.77356771018,0.77356771018
0,100,relu,0,0.658008658009,0.89942975635,0.439306358382,0.95644983462,0.526863084922,0.927063852525,346,1814,152,194,79,1735,0.873611111111,0.697878096501,0.697878096501
1,1000,relu,0,0.713958810069,0.805732484076,0.836461126005,0.669312169312,0.77037037037,0.731213872832,373,378,312,61,125,253,0.752330226365,0.752886647659,0.752886647659
0,1000,relu,0,0.630522088353,0.901098901099,0.453757225434,0.949283351709,0.527731092437,0.924563758389,346,1814,157,189,92,1722,0.869907407407,0.701520288571,0.701520288571
1,10000,relu,0,0.774390243902,0.723404255319,0.684636118598,0.805263157895,0.726752503577,0.762141967621,371,380,254,117,74,306,0.745672436751,0.744949638247,0.744949638247
0,10000,relu,0,0.613970588235,0.906779661017,0.486880466472,0.942212438085,0.543089430894,0.924156545209,343,1817,167,176,105,1712,0.869907407407,0.714546452279,0.714546452279
