K,Balanced,#Exec,PPV_S,PPV_NS,TPR_S,TPR_NS,F1_S,F1_NS,SUP_S,SUP_NS,TN,FP,FN,TP,Acc,AUC0,AUC1
3,1,0,0.5889423076923077,0.6358208955223881,0.667574931880109,0.5546875,0.6257982120051085,0.5924895688456189,367,384,213,171,122,245,0.6098535286284953,0.6111312159400545,0.6111312159400546
3,1,1,0.6132315521628499,0.6452513966480447,0.654891304347826,0.6031331592689295,0.633377135348226,0.6234817813765182,368,383,231,152,127,241,0.6284953395472703,0.6290122318083778,0.6290122318083778
3,1,2,0.5754716981132075,0.5963302752293578,0.648936170212766,0.52,0.6099999999999999,0.5555555555555556,376,375,195,180,132,244,0.5845539280958721,0.584468085106383,0.584468085106383
3,1,3,0.6109725685785536,0.6171428571428571,0.6464379947229552,0.5806451612903226,0.6282051282051283,0.5983379501385042,379,372,216,156,134,245,0.6138482023968043,0.6135415780066389,0.6135415780066388
3,1,4,0.5932642487046632,0.6246575342465753,0.6256830601092896,0.5922077922077922,0.6090425531914894,0.608,366,385,228,157,137,229,0.6085219707057257,0.6089454261585409,0.6089454261585409
3,1,5,0.6024691358024692,0.6473988439306358,0.6666666666666666,0.5818181818181818,0.6329442282749675,0.612859097127223,366,385,224,161,122,244,0.6231691078561917,0.6242424242424242,0.6242424242424243
3,1,6,0.6004672897196262,0.6377708978328174,0.6871657754010695,0.5464190981432361,0.6408977556109726,0.5885714285714285,374,377,206,171,117,257,0.6165113182423435,0.6167924367721528,0.6167924367721528
3,1,7,0.6274509803921569,0.6472303206997084,0.6790450928381963,0.5935828877005348,0.6522292993630574,0.6192468619246861,377,374,222,152,121,256,0.6364846870838882,0.6363139902693654,0.6363139902693656
3,1,8,0.6135831381733021,0.6450617283950617,0.6949602122015915,0.5588235294117647,0.6517412935323382,0.5988538681948423,377,374,209,165,115,262,0.6271637816245007,0.6268918708066781,0.6268918708066781
3,1,9,0.5960591133004927,0.6057971014492753,0.6402116402116402,0.5603217158176944,0.6173469387755103,0.5821727019498608,378,373,209,164,136,242,0.6005326231691078,0.6002666780146673,0.6002666780146674
3,1,10,0.6139088729016786,0.6407185628742516,0.6808510638297872,0.5706666666666667,0.6456494325346784,0.6036671368124119,376,375,214,161,120,256,0.625832223701731,0.6257588652482269,0.6257588652482269
3,1,11,0.6059850374064838,0.6428571428571429,0.6603260869565217,0.587467362924282,0.6319895968790636,0.6139154160982265,368,383,225,158,125,243,0.6231691078561917,0.6238967249404018,0.6238967249404018
3,1,12,0.6109725685785536,0.6142857142857143,0.6447368421052632,0.5795148247978437,0.6274007682458388,0.5963938973647712,380,371,215,156,135,245,0.6125166444740346,0.6121258334515535,0.6121258334515534
3,1,13,0.6089108910891089,0.6397694524495677,0.6630727762803235,0.5842105263157895,0.6348387096774194,0.610729023383769,371,380,222,158,125,246,0.6231691078561917,0.6236416512980565,0.6236416512980565
3,1,14,0.625,0.6656716417910448,0.6989247311827957,0.5883905013192612,0.6598984771573605,0.6246498599439775,372,379,223,156,112,260,0.6431424766977364,0.6436576162510285,0.6436576162510285
