K,Balanced,#Exec,PPV_S,PPV_NS,TPR_S,TPR_NS,F1_S,F1_NS,SUP_S,SUP_NS,TN,FP,FN,TP,Acc,AUC0,AUC1
3,1,0,0.0962566844919786,0.9467680608365019,0.5625,0.5956937799043063,0.1643835616438356,0.7312775330396476,64,836,498,338,28,36,0.5933333333333334,0.5790968899521531,0.5790968899521531
3,1,1,0.0967741935483871,0.946969696969697,0.5625,0.5980861244019139,0.16513761467889906,0.7331378299120235,64,836,500,336,28,36,0.5955555555555555,0.580293062200957,0.580293062200957
3,1,2,0.10192837465564739,0.9497206703910615,0.578125,0.6100478468899522,0.17330210772833723,0.7428987618353969,64,836,510,326,27,37,0.6077777777777778,0.5940864234449761,0.5940864234449761
3,1,3,0.10540540540540541,0.9528301886792453,0.609375,0.604066985645933,0.17972350230414746,0.739385065885798,64,836,505,331,25,39,0.6044444444444445,0.6067209928229665,0.6067209928229664
3,1,4,0.09973045822102426,0.9489603024574669,0.578125,0.6004784688995215,0.17011494252873563,0.7355311355311355,64,836,502,334,27,37,0.5988888888888889,0.5893017344497608,0.5893017344497608
3,1,5,0.09523809523809523,0.9481037924151696,0.59375,0.5681818181818182,0.16414686825053995,0.7105459985041137,64,836,475,361,26,38,0.57,0.5809659090909091,0.5809659090909092
3,1,6,0.10178117048346055,0.9526627218934911,0.625,0.5777511961722488,0.175054704595186,0.7192851824274012,64,836,483,353,24,40,0.5811111111111111,0.6013755980861244,0.6013755980861244
3,1,7,0.10511363636363637,0.9507299270072993,0.578125,0.6232057416267942,0.1778846153846154,0.7528901734104047,64,836,521,315,27,37,0.62,0.6006653708133971,0.6006653708133971
3,1,8,0.10187667560321716,0.9506641366223909,0.59375,0.5992822966507177,0.17391304347826086,0.73514306676449,64,836,501,335,26,38,0.5988888888888889,0.5965161483253588,0.5965161483253589
3,1,9,0.1,0.9509803921568627,0.609375,0.5801435406698564,0.1718061674008811,0.7206537890044576,64,836,485,351,25,39,0.5822222222222222,0.5947592703349283,0.5947592703349283
3,1,10,0.09268292682926829,0.9469387755102041,0.59375,0.5550239234449761,0.16033755274261605,0.6998491704374057,64,836,464,372,26,38,0.5577777777777778,0.574386961722488,0.574386961722488
3,1,11,0.0989010989010989,0.9477611940298507,0.5625,0.6076555023923444,0.16822429906542055,0.7405247813411078,64,836,508,328,28,36,0.6044444444444445,0.5850777511961722,0.5850777511961722
3,1,12,0.09921671018276762,0.9497098646034816,0.59375,0.5873205741626795,0.17002237136465323,0.7257945306725795,64,836,491,345,26,38,0.5877777777777777,0.5905352870813397,0.5905352870813397
3,1,13,0.0995260663507109,0.9539748953974896,0.65625,0.5454545454545454,0.1728395061728395,0.6940639269406392,64,836,456,380,22,42,0.5533333333333333,0.6008522727272727,0.6008522727272727
3,1,14,0.10621761658031088,0.9552529182879378,0.640625,0.5873205741626795,0.18222222222222223,0.7274074074074075,64,836,491,345,23,41,0.5911111111111111,0.6139727870813397,0.6139727870813396
3,1,15,0.10591133004926108,0.9574898785425101,0.671875,0.5657894736842105,0.18297872340425528,0.7112781954887218,64,836,473,363,21,43,0.5733333333333334,0.6188322368421053,0.6188322368421053
3,1,16,0.10393258426966293,0.9503676470588235,0.578125,0.618421052631579,0.1761904761904762,0.7492753623188405,64,836,517,319,27,37,0.6155555555555555,0.5982730263157895,0.5982730263157895
3,1,17,0.10933333333333334,0.9561904761904761,0.640625,0.6004784688995215,0.1867881548974943,0.7376928728875827,64,836,502,334,23,41,0.6033333333333334,0.6205517344497608,0.6205517344497608
3,1,18,0.10643564356435643,0.9576612903225806,0.671875,0.5681818181818182,0.18376068376068377,0.7132132132132133,64,836,475,361,21,43,0.5755555555555556,0.6200284090909091,0.6200284090909092
3,1,19,0.10804020100502512,0.9581673306772909,0.671875,0.5753588516746412,0.18614718614718614,0.71898355754858,64,836,481,355,21,43,0.5822222222222222,0.6236169258373205,0.6236169258373205
3,1,20,0.10653753026634383,0.9589322381930184,0.6875,0.5586124401913876,0.18448637316561844,0.7059712773998489,64,836,467,369,20,44,0.5677777777777778,0.6230562200956938,0.6230562200956937
3,1,21,0.08376963350785341,0.9382239382239382,0.5,0.5813397129186603,0.14349775784753366,0.7178729689807977,64,836,486,350,32,32,0.5755555555555556,0.5406698564593301,0.5406698564593302
3,1,22,0.10089020771513353,0.9467140319715808,0.53125,0.6375598086124402,0.16957605985037405,0.7619728377412437,64,836,533,303,30,34,0.63,0.58440490430622,0.58440490430622
3,1,23,0.10465116279069768,0.9595744680851064,0.703125,0.5394736842105263,0.1821862348178138,0.6906584992343031,64,836,451,385,19,45,0.5511111111111111,0.6212993421052632,0.6212993421052632
3,1,24,0.10106382978723404,0.950381679389313,0.59375,0.5956937799043063,0.1727272727272727,0.7323529411764705,64,836,498,338,26,38,0.5955555555555555,0.5947218899521531,0.5947218899521531
3,1,25,0.11688311688311688,0.9631067961165048,0.703125,0.5933014354066986,0.20044543429844094,0.7342709104367136,64,836,496,340,19,45,0.6011111111111112,0.6482132177033493,0.6482132177033493
3,1,26,0.09523809523809523,0.95,0.625,0.5454545454545454,0.1652892561983471,0.6930091185410333,64,836,456,380,24,40,0.5511111111111111,0.5852272727272727,0.5852272727272727
3,1,27,0.0960591133004926,0.9493927125506073,0.609375,0.5610047846889952,0.16595744680851063,0.7052631578947367,64,836,469,367,25,39,0.5644444444444444,0.5851898923444976,0.5851898923444976
3,1,28,0.08857808857808858,0.9447983014861996,0.59375,0.5322966507177034,0.15415821501014199,0.6809487375669473,64,836,445,391,26,38,0.5366666666666666,0.5630233253588517,0.5630233253588517
3,1,29,0.09701492537313433,0.9497991967871486,0.609375,0.5657894736842105,0.16738197424892706,0.7091454272863569,64,836,473,363,25,39,0.5688888888888889,0.5875822368421053,0.5875822368421053
3,1,30,0.11989795918367346,0.9665354330708661,0.734375,0.5873205741626795,0.20614035087719296,0.730654761904762,64,836,491,345,17,47,0.5977777777777777,0.6608477870813397,0.6608477870813397
3,1,31,0.1073170731707317,0.9591836734693877,0.6875,0.562200956937799,0.18565400843881855,0.7088989441930619,64,836,470,366,20,44,0.5711111111111111,0.6248504784688995,0.6248504784688995
3,1,32,0.11506849315068493,0.9588785046728971,0.65625,0.6136363636363636,0.1958041958041958,0.74835886214442,64,836,513,323,22,42,0.6166666666666667,0.6349431818181819,0.6349431818181819
3,1,33,0.0987012987012987,0.9495145631067962,0.59375,0.5849282296650717,0.1692650334075724,0.7239082161361954,64,836,489,347,26,38,0.5855555555555556,0.5893391148325359,0.5893391148325359
3,1,34,0.0985576923076923,0.9524793388429752,0.640625,0.5514354066985646,0.1708333333333333,0.6984848484848484,64,836,461,375,23,41,0.5577777777777778,0.5960302033492824,0.5960302033492824
3,1,35,0.10539845758354756,0.9549902152641878,0.640625,0.583732057416268,0.18101545253863136,0.724573125463994,64,836,488,348,23,41,0.5877777777777777,0.6121785287081339,0.612178528708134
3,1,36,0.11855670103092783,0.96484375,0.71875,0.5909090909090909,0.20353982300884957,0.7329376854599408,64,836,494,342,18,46,0.6,0.6548295454545454,0.6548295454545454
3,1,37,0.10427807486631016,0.9524714828897338,0.609375,0.5992822966507177,0.1780821917808219,0.73568281938326,64,836,501,335,25,39,0.6,0.6043286483253588,0.6043286483253589
3,1,38,0.11658031088082901,0.9630350194552529,0.703125,0.5921052631578947,0.2,0.7333333333333332,64,836,495,341,19,45,0.6,0.6476151315789473,0.6476151315789473
3,1,39,0.09620253164556962,0.9485148514851485,0.59375,0.5729665071770335,0.1655773420479303,0.7143922445935869,64,836,479,357,26,38,0.5744444444444444,0.5833582535885168,0.5833582535885167
3,1,40,0.10335917312661498,0.9532163742690059,0.625,0.5849282296650717,0.17738359201773835,0.7249814677538917,64,836,489,347,24,40,0.5877777777777777,0.6049641148325359,0.6049641148325359
3,1,41,0.105,0.956,0.65625,0.5717703349282297,0.1810344827586207,0.7155688622754491,64,836,478,358,22,42,0.5777777777777777,0.6140101674641149,0.6140101674641149
3,1,42,0.10541310541310542,0.9508196721311475,0.578125,0.6244019138755981,0.1783132530120482,0.7537906137184115,64,836,522,314,27,37,0.6211111111111111,0.601263456937799,0.601263456937799
3,1,43,0.10326086956521739,0.9511278195488722,0.59375,0.6052631578947368,0.17592592592592593,0.739766081871345,64,836,506,330,26,38,0.6044444444444445,0.5995065789473684,0.5995065789473684
