Balanced,#Neurons,Activattion,#Exec,PPV_S,PPV_NS,TPR_S,TPR_NS,F1_S,F1_NS,SUP_S,SUP_NS,TN,FP,FN,TP,Acc,AUC0,AUC1
1,100,logistic,0,0.724675324675,0.72131147541,0.732283464567,0.713513513514,0.728459530026,0.717391304348,381,370,279,102,106,264,0.723035952064,0.72289848904,0.72289848904
1,100,logistic,1,0.730569948187,0.753424657534,0.758064516129,0.725593667546,0.744063324538,0.739247311828,372,379,282,90,104,275,0.741677762983,0.741829091838,0.741829091838
1,100,logistic,2,0.755102040816,0.708333333333,0.685185185185,0.774798927614,0.718446601942,0.740076824584,378,373,259,119,84,289,0.729693741678,0.7299920564,0.7299920564
1,100,logistic,3,0.697459584296,0.767295597484,0.803191489362,0.650666666667,0.746600741656,0.704184704185,376,375,302,74,131,244,0.727030625832,0.726929078014,0.726929078014
1,100,logistic,4,0.689252336449,0.758513931889,0.790884718499,0.648148148148,0.736579275905,0.699001426534,373,378,295,78,133,245,0.719041278296,0.719516433323,0.719516433323
1,100,logistic,5,0.730673316708,0.74,0.763020833333,0.705722070845,0.746496815287,0.722454672245,384,367,293,91,108,259,0.735019973369,0.734371452089,0.734371452089
1,100,logistic,6,0.728459530026,0.755434782609,0.756097560976,0.727748691099,0.742021276596,0.741333333333,369,382,279,90,104,278,0.741677762983,0.741923126038,0.741923126038
1,100,logistic,7,0.685230024213,0.724852071006,0.752659574468,0.653333333333,0.717363751584,0.687237026648,376,375,283,93,130,245,0.703062583222,0.702996453901,0.702996453901
1,100,logistic,8,0.74064171123,0.710875331565,0.717616580311,0.734246575342,0.728947368421,0.722371967655,386,365,277,109,97,268,0.725699067909,0.725931577827,0.725931577827
1,100,logistic,9,0.762430939227,0.724935732648,0.720626631854,0.766304347826,0.740939597315,0.745046235139,383,368,276,107,86,282,0.743009320905,0.74346548984,0.74346548984
1,100,logistic,10,0.727493917275,0.767647058824,0.791005291005,0.699731903485,0.757921419518,0.732117812062,378,373,299,79,112,261,0.745672436751,0.745368597245,0.745368597245
1,100,logistic,11,0.710875331565,0.711229946524,0.712765957447,0.709333333333,0.71181938911,0.710280373832,376,375,268,108,109,266,0.711051930759,0.71104964539,0.71104964539
