balance,DEEP MAX,classifier,K,#Exec,PPV_S,PPV_NS,TPR_S,TPR_NS,F1_S,F1_NS,SUP_S,SUP_NS,TN,FP,FN,TP,Acc,AUC,Deep,Training Time
0,40,knn,5,1,0.622895622896,0.913043478261,0.533141210375,0.938223938224,0.574534161491,0.925462459195,347,1813,1701,112,162,185,0.873148148148,0.735682574299,32,39795.450570106506
0,40,knn,3,1,0.6218181818181818,0.9071618037135278,0.49421965317919075,0.9426681367144433,0.5507246376811594,0.9245742092457421,346,1814,1710,104,175,171,0.8708333333333333,0.7184438949468169,37,40353.88440775871
0,40,knn,100,6,0.7169811320754716,0.8952772073921971,0.42696629213483145,0.9667405764966741,0.5352112676056338,0.929637526652452,356,1804,1744,60,204,152,0.8777777777777778,0.6968534343157528,32,44739.044911146164
0,40,knn,5,1,0.6012269938650306,0.9187568157033806,0.5681159420289855,0.928374655647383,0.5842026825633383,0.9235406960811181,345,1815,1685,130,149,196,0.8708333333333333,0.7482452988381842,21,46978.723736763
0,40,knn,9,1,0.6707818930041153,0.909754825247783,0.4851190476190476,0.956140350877193,0.5630397236614854,0.9323710237904302,336,1824,1744,80,173,163,0.8828703703703704,0.7206296992481203,37,47393.21094250679
0,40,knn,5,1,0.6716981132075471,0.9150395778364117,0.5250737463126843,0.9522240527182867,0.5894039735099338,0.9332615715823467,339,1821,1734,87,161,178,0.8851851851851852,0.7386488995154856,29,47837.44279074669
0,40,knn,100,7,0.6234309623430963,0.8912024986985945,0.41620111731843573,0.9500554938956715,0.4991624790619766,0.9196884233145312,358,1802,1712,90,209,149,0.861574074074074,0.6831283056070535,36,10776.05202460289
0,40,knn,5,6,0.5975232198142415,0.9161676646706587,0.5561959654178674,0.9282956425813569,0.5761194029850746,0.9221917808219179,347,1813,1683,130,154,193,0.8685185185185185,0.7422458039996123,27,64408.06650137901
0,40,knn,5,1,0.694339622642,0.913984168865,0.530259365994,0.955322669608,0.601307189542,0.934196332255,347,1813,1732,81,163,184,0.887037037037,0.742791017801,40,66241.25786685944
0,40,knn,9,2,0.6479400749063671,0.9123085050184891,0.5103244837758112,0.9483800109829764,0.5709570957095709,0.9299946149703823,339,1821,1727,94,166,173,0.8796296296296297,0.7293522473793939,37,27350.634977579117
0,40,knn,100,1,0.7131147540983607,0.918580375782881,0.5272727272727272,0.9617486338797814,0.6062717770034842,0.9396689802455952,330,1830,1760,70,156,174,0.8953703703703704,0.7445106805762544,40,77707.80174708366
0,40,knn,7,1,0.6788617886178862,0.9043887147335423,0.47714285714285715,0.956353591160221,0.5604026845637583,0.9296455424274973,350,1810,1731,79,183,167,0.8787037037037037,0.716748224151539,37,78769.63194966316
0,40,knn,5,2,0.6076388888888888,0.9086538461538461,0.5057803468208093,0.9377067254685777,0.5520504731861199,0.9229517091698317,346,1814,1701,113,171,175,0.8685185185185185,0.7217435361446934,39,32551.95470905304
0,40,knn,100,8,0.7014925373134329,0.8973966309341501,0.41228070175438597,0.966996699669967,0.5193370165745856,0.9308975377283559,342,1818,1758,60,201,141,0.8791666666666667,0.6896387007121765,35,24538.108823537827
