20,15,7,0.848148148148,4,1.3255805969238281
20,15,7,0.851388888889,4,1.2818174362182617
20,15,8,0.84212962963,4,1.3050954341888428
20,15,9,0.84212962963,4,1.311715841293335
20,15,10,0.84212962963,4,1.2998628616333008
20,15,11,0.84212962963,4,1.3006744384765625
Altura Maxima,K,#Execucao,Precision_S,Precision_NS,Recall_S,Recall_NS,Fscore_S,Fscore_NS,Support_S,Support_NS,Acc (Melhor),Altura (Melhor),Tempo Execucao
20,15,1,0.891666666667,20,130177.61064839363
20,15,7,0.8972222222222223,20,160658.72803378105
20,15,16,0.8472222222222222,1,5532.900792360306
20,15,17,0.8587962962962963,15,6307.42622256279
20,15,18,0.8402777777777778,1,5550.50328707695
20,15,19,0.8587962962962963,15,6305.131108045578
20,15,20,0.8402777777777778,1,5550.543563604355
10,15,16,0.852777777778,10,48313.847022295
10,15,17,0.847685185185,10,77122.06321263313
10,15,18,0.848611111111,10,65572.98411512375
10,15,19,0.850925925926,10,36534.60991692543
10,15,20,0.843055555556,10,15742.008653402328
10,15,21,0.846296296296,10,31123.614660978317
