DEEP MAX,K,#Exec,PPV_S,PPV_NS,TPR_S,TPR_NS,F1_S,F1_NS,SUP_S,SUP_NS,Acc,Deep,Training Time
35,9,1,0.753807106599,0.795518207283,0.802702702703,0.745406824147,0.777486910995,0.769647696477,370,381,0.773635153129,34,7555.607127666473
35,5,1,0.794805194805,0.825136612022,0.827027027027,0.792650918635,0.81059602649,0.808567603748,370,381,0.809587217044,35,14722.142008066177
35,9,2,0.822580645161,0.807387862797,0.807387862797,0.822580645161,0.814913448735,0.814913448735,379,372,0.814913448735,35,9150.314820051193
35,7,1,0.775773195876,0.776859504132,0.787958115183,0.764227642276,0.781818181818,0.770491803279,382,369,0.776298268975,25,17812.334033966064
35,3,1,0.788235294118,0.739659367397,0.714666666667,0.808510638298,0.74965034965,0.772554002541,375,376,0.761651131824,35,20855.454452753067
35,9,3,0.795698924731,0.796833773087,0.793565683646,0.798941798942,0.794630872483,0.797886393659,373,378,0.796271637816,29,7624.544722795486
35,7,2,0.758883248731,0.803921568627,0.810298102981,0.751308900524,0.78374836173,0.776725304465,369,382,0.780292942743,30,12199.0929749012
35,5,2,0.774869109948,0.780487804878,0.785145888594,0.770053475936,0.779973649539,0.775235531629,377,374,0.777629826897,35,17257.13595032692
35,3,2,0.760330578512,0.742268041237,0.734042553191,0.768,0.746955345061,0.754914809961,376,375,0.750998668442,35,12659.1057574749
35,7,3,0.779944289694,0.757653061224,0.746666666667,0.789893617021,0.762942779292,0.7734375,375,376,0.768308921438,27,6427.625114440918
35,9,4,0.802030456853,0.81512605042,0.82722513089,0.788617886179,0.814432989691,0.801652892562,382,369,0.808255659121,33,16613.09881711006
35,3,3,0.815718157182,0.777486910995,0.779792746114,0.813698630137,0.797350993377,0.795180722892,386,365,0.796271637816,34,11799.363006830215
35,5,3,0.781491002571,0.806629834254,0.812834224599,0.774535809019,0.796854521625,0.790257104195,374,377,0.793608521971,34,13558.642605304718
35,7,4,0.777188328912,0.77807486631,0.779255319149,0.776,0.778220451527,0.777036048064,376,375,0.777629826897,27,11473.854818344116
35,5,4,0.796195652174,0.783289817232,0.779255319149,0.8,0.787634408602,0.791556728232,376,375,0.789613848202,31,7193.9910633563995
35,5,5,0.786096256684,0.785145888594,0.784,0.787234042553,0.785046728972,0.786188579017,375,376,0.785619174434,31,11753.814384937286
35,9,5,0.799465240642,0.790450928382,0.791005291005,0.798927613941,0.795212765957,0.794666666667,378,373,0.794940079893,35,23805.60000228882
35,7,5,0.826704545455,0.789473684211,0.776,0.837765957447,0.800550206327,0.812903225806,375,376,0.806924101198,32,20515.42775940895
35,7,6,0.742924528302,0.807339449541,0.833333333333,0.707774798928,0.785536159601,0.754285714286,378,373,0.770972037284,32,5839.945962429047
35,3,4,0.783422459893,0.771883289125,0.77308707124,0.782258064516,0.778220451527,0.777036048064,379,372,0.777629826897,33,32545.40848827362
35,3,5,0.778082191781,0.759067357513,0.753315649867,0.783422459893,0.765498652291,0.771052631579,377,374,0.768308921438,34,12710.714738607407
35,7,7,0.80487804878,0.795811518325,0.792,0.808510638298,0.798387096774,0.802110817942,375,376,0.800266311585,28,17530.897664308548
35,9,6,0.834285714286,0.810473815461,0.79347826087,0.848563968668,0.813370473538,0.829081632653,368,383,0.821571238349,35,30268.908724308014
35,3,6,0.777777777778,0.796246648794,0.794594594595,0.779527559055,0.786096256684,0.787798408488,370,381,0.786950732357,34,8427.16737651825
35,5,6,0.80376344086,0.79419525066,0.793103448276,0.804812834225,0.798397863818,0.799468791501,377,374,0.798934753662,35,39145.22363066673
35,9,7,0.833333333333,0.782608695652,0.779220779221,0.83606557377,0.805369127517,0.808454425363,385,366,0.806924101198,35,13402.601728916168
35,5,7,0.78364116095,0.77688172043,0.781578947368,0.77897574124,0.782608695652,0.777927321669,380,371,0.780292942743,34,8151.84937787056
