DEEP MAX,K,#Exec,PPV_S,PPV_NS,TPR_S,TPR_NS,F1_S,F1_NS,SUP_S,SUP_NS,TN,FP,FN,TP,Acc,Deep,Training Time
40,9,1,0.21008403361344538,0.9500244977951985,0.1968503937007874,0.9537629119527792,0.2032520325203252,0.9518900343642612,127,2033,1939,94,102,25,0.9092592592592592,32,55840.98045897484
40,5,1,0.1347517730496454,0.9479940564635958,0.1532258064516129,0.9400785854616895,0.14339622641509434,0.9440197287299629,124,2036,1914,122,105,19,0.8949074074074074,39,58907.974323511124
40,5,1,0.201923076923,0.863914373089,0.261410788382,0.819434372734,0.227848101266,0.841086713807,241,1379,1130,249,178,63,0.736419753086,39,62334.95183420181
40,7,1,0.332258064516,0.895419847328,0.429166666667,0.85,0.374545454545,0.872118959108,240,1380,1173,207,137,103,0.787654320988,38,65104.18772506714
40,9,1,0.367256637168,0.885222381636,0.341563786008,0.896151053014,0.3539445629,0.890653193793,243,1377,1234,143,160,83,0.812962962963,38,78323.1867518425
40,3,1,0.179153094463,0.858339680122,0.228215767635,0.817258883249,0.200729927007,0.837295690936,241,1379,1127,252,186,55,0.72962962963,36,87700.85157775879
